Data reference syntax to experiment level,Sub-experiment ID,Ensemble member,Table ID,Variable name,Grid label,Version number on ESGF,Subpanel
CMIP6.CMIP.NCC.NorCPM1.historical,none,r17i1p1f1,SImon,siconc,gn,v20190914,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.historical,none,r10i1p1f1,SImon,siconca,gn,v20180830,
CMIP6.ScenarioMIP.CAS.FGOALS-f3-L.ssp585,none,r1i1p1f1,Amon,tas,gr,v20191013,
CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical,none,r1i1p1f1,SImon,siconc,gn,v20200212,
CMIP6.CMIP.CCCma.CanESM5.historical,none,r23i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r20i1p1f1,Amon,tas,gr,v20191017,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r9i1p1f1,Amon,tas,gn,v20190914,
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-MM.ssp585,none,r1i1p1f3,SImon,siconc,gn,v20200515,
CMIP6.ScenarioMIP.FIO-QLNM.FIO-ESM-2-0.ssp245,none,r1i1p1f1,SImon,siconc,gn,v20191228,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585,none,r2i1p1f2,SImon,siconc,gn,v20190410,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245,none,r7i1p1f1,Amon,tas,gn,v20190710,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp245,none,r2i1p1f1,SImon,siconc,gn,??,
CMIP6.CMIP.NCAR.CESM2.historical,none,r3i1p1f1,SImon,siconc,gn,v20190308,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245,none,r5i1p1f1,SImon,siareas,gn,v20190710,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126,none,r1i1p1f1,Amon,tas,gr,v20190926,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126,none,r15i1p1f1,SImon,siconc,gn,v20190712,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r139i1p1f1,SImon,siconc,gn,v20200919,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical,none,r2i1p1f1,SImon,siarean,gn,v20190710,
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical,none,r4i1p1f1,Amon,tas,gn,v20200529,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical,none,r5i1p1f1,SImon,siareas,gn,v20190710,
CMIP6.CMIP.FIO-QLNM.FIO-ESM-2-0.historical,none,r3i1p1f1,Amon,tas,gn,v20191115,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp585,none,r1i1p1f2,SImon,siareas,gn,v20191202,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-H.historical,none,r4i1p1f1,Amon,tas,gn,v20190403,
CMIP6.CMIP.MOHC.UKESM1-0-LL.historical,none,r7i1p1f3,SImon,siconc,gn,v20190603,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r16i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r17i1p1f1,SImon,siconc,gn,v20190712,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126,none,r15i1p1f1,Amon,tas,gr,v20190710,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r46i1p1f1,SImon,siconc,gn,v20200519,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r41i1p1f1,Amon,tas,gn,v20200519,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r13i1p1f1,Amon,tas,gr,v20190710,
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical,none,r2i1p1f1,SIday,siconc,gn,v20181127,
CMIP6.CMIP.INM.INM-CM4-8.historical,none,r1i1p1f1,SImon,siareas,gr1,v20190530,
CMIP6.ScenarioMIP.??.HadGEM3-GC31-LL.ssp126,none,r1i1p1f3,SImon,??,??,??,
CMIP6.ScenarioMIP.NASA-GISS.GISS-E2-1-G.ssp245,none,r3i1p1f2,SImon,siconca,gn,v20200115,
CMIP6.CMIP.??.EC-Earth3-Veg.historical,none,r9i1p1f1,Amon,tas,??,??,
CMIP6.CMIP.MRI.MRI-ESM2-0.historical,none,r2i1p1f1,Amon,tas,gn,v20190222,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126,none,r25i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.historical,none,r7i1p1f2,SImon,siconca,gn,v20190903,
CMIP6.CMIP.CCCma.CanESM5.historical,none,r22i1p1f1,Amon,tas,gn,v20190429,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126,none,r6i1p1f1,SImon,siconc,gn,v20191121,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585,none,r9i1p1f1,SImon,siconc,gn,??,
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp245,none,r2i1p1f2,Amon,tas,gn,v20190507,
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp245,none,r5i1p1f1,SImon,siareas,gm,v20200120,
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp245,none,r3i1p1f1,SImon,siarean,gn,v20200206,
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp245,none,r2i1p1f1,SImon,siareas,gm,v20200120,
CMIP6.CMIP.CCCma.CanESM5.historical,none,r15i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical,none,r4i1p1f1,SImon,siarean,gn,v20190710,
CMIP6.ScenarioMIP.NCAR.CESM2.ssp126,none,r1i1p1f1,SImon,siareas,gn,v20190730,
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical,none,r3i1p1f1,Amon,tas,gn,v20191203,
CMIP6.ScenarioMIP.??.EC-Earth3-Veg.ssp245,none,r9i1p1f1,SImon,??,??,??,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r14i1p1f1,SImon,siareas,gn,v20180803,
CMIP6.CMIP.INM.INM-CM5-0.historical,none,r6i1p1f1,SImon,siconc,gr1,v20190709,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r16i1p1f1,SImon,siconc,gn,v20190914,
CMIP6.CMIP.E3SM-Project.E3SM-1-1.historical,none,r1i1p1f1,Amon,tas,gr,v20191211,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r23i1p1f1,Amon,tas,gn,v20190429,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585,none,r2i1p1f1,Amon,tas,gr,v20191121,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp245,none,r3i1p1f1,Amon,tas,gn,v20190429,
