year T_MMCP2.6 T_MMCP4.5 T_MMCP6.0 T_MMCP-break T_MMCP8.5 T_MMCP-feedback 
 2144 1.356 1.765 2.055 2.723 2.723 2.723 
 2145 1.335 1.703 2.088 2.724 2.704 2.704 
 2146 1.318 1.699 2.118 2.713 2.693 2.693 
 2147 1.339 1.745 2.091 2.684 2.672 2.672 
 2148 1.370 1.796 2.092 2.683 2.727 2.727 
 2149 1.390 1.784 2.102 2.687 2.771 2.771 
 2150 1.395 1.742 2.101 2.746 2.807 2.807 
 2151 1.415 1.725 2.065 2.773 2.774 2.774 
 2152 1.463 1.737 2.009 2.836 2.774 2.774 
 2153 1.469 1.799 2.021 2.821 2.807 2.807 
 2154 1.450 1.834 2.065 2.759 2.821 2.821 
 2155 1.411 1.843 2.097 2.728 2.853 2.853 
 2156 1.434 1.841 2.079 2.741 2.857 2.857 
 2157 1.421 1.812 2.078 2.784 2.832 2.832 
 2158 1.454 1.799 2.127 2.780 2.842 2.842 
 2159 1.430 1.744 2.165 2.763 2.833 2.833 
 2160 1.430 1.756 2.120 2.819 2.872 2.872 
 2161 1.377 1.734 2.095 2.804 2.852 2.852 
 2162 1.417 1.739 2.074 2.792 2.820 2.820 
 2163 1.418 1.706 2.098 2.742 2.865 2.865 
 2164 1.498 1.751 2.133 2.749 2.870 2.870 
 2165 1.485 1.837 2.192 2.782 2.940 2.940 
 2166 1.536 1.904 2.168 2.783 2.943 2.943 
 2167 1.503 1.900 2.117 2.813 2.986 2.986 
 2168 1.423 1.878 2.121 2.805 2.967 2.967 
 2169 1.386 1.859 2.172 2.829 2.972 2.972 
 2170 1.357 1.813 2.208 2.807 2.941 2.941 
 2171 1.389 1.790 2.196 2.834 2.889 2.889 
 2172 1.392 1.744 2.209 2.847 2.874 2.874 
 2173 1.375 1.758 2.182 2.856 2.876 2.876 
 2174 1.443 1.762 2.169 2.781 2.973 2.973 
 2175 1.431 1.811 2.154 2.750 3.002 3.002 
 2176 1.418 1.869 2.164 2.768 3.035 3.035 
 2177 1.372 1.881 2.113 2.798 3.062 3.062 
 2178 1.369 1.900 2.091 2.833 3.102 3.102 
 2179 1.452 1.886 2.164 2.840 3.112 3.112 
 2180 1.455 1.851 2.228 2.839 3.035 3.035 
 2181 1.450 1.825 2.260 2.822 2.988 2.988 
 2182 1.390 1.823 2.193 2.840 2.948 2.948 
 2183 1.392 1.852 2.182 2.880 2.989 2.989 
 2184 1.421 1.865 2.160 2.858 2.976 2.976 
 2185 1.414 1.887 2.150 2.820 3.004 3.004 
 2186 1.403 1.914 2.141 2.831 3.031 3.031 
 2187 1.401 1.925 2.170 2.854 3.076 3.076 
 2188 1.434 1.897 2.173 2.852 3.097 3.097 
 2189 1.462 1.836 2.197 2.825 3.101 3.101 
 2190 1.459 1.794 2.187 2.826 3.172 3.172 
 2191 1.433 1.749 2.214 2.833 3.181 3.181 
 2192 1.457 1.764 2.179 2.847 3.116 3.116 
 2193 1.445 1.799 2.161 2.861 3.047 3.047 
 2194 1.480 1.878 2.162 2.901 3.032 3.032 
 2195 1.437 1.872 2.176 2.940 3.087 3.087 
 2196 1.465 1.843 2.163 2.955 3.061 3.061 
 2197 1.475 1.770 2.159 2.977 3.091 3.091 
 2198 1.461 1.788 2.184 2.961 3.102 3.102 
 2199 1.455 1.807 2.246 2.963 3.169 3.169 
 2200 1.450 1.865 2.286 2.940 3.137 3.137 
 2201 1.487 1.883 2.284 2.952 3.126 3.126 
 2202 1.518 1.926 2.270 2.946 3.081 3.081 
 2203 1.515 1.922 2.237 2.927 3.119 3.119 
 2204 1.500 1.917 2.223 2.906 3.148 3.148 
 2205 1.463 1.867 2.204 2.916 3.182 3.182 
 2206 1.448 1.848 2.251 2.952 3.218 3.218 
 2207 1.448 1.879 2.255 2.987 3.210 3.210 
 2208 1.454 1.896 2.269 3.003 3.234 3.234 
 2209 1.446 1.948 2.191 2.991 3.225 3.225 
 2210 1.452 1.939 2.198 2.938 3.237 3.237 
 2211 1.427 1.924 2.229 2.941 3.242 3.242 
 2212 1.430 1.853 2.313 2.952 3.256 3.256 
 2213 1.400 1.810 2.339 3.003 3.264 3.264 
 2214 1.395 1.869 2.385 3.006 3.269 3.269 
 2215 1.381 1.903 2.369 3.025 3.269 3.269 
 2216 1.416 1.954 2.402 3.035 3.301 3.301 
 2217 1.426 1.946 2.358 3.025 3.344 3.344 
 2218 1.434 1.975 2.369 2.952 3.319 3.319 
 2219 1.446 2.003 2.339 2.900 3.307 3.307 
 2220 1.486 1.977 2.315 2.887 3.288 3.288 
 2221 1.507 1.930 2.281 2.938 3.263 3.263 
 2222 1.480 1.883 2.274 2.920 3.214 3.214 
 2223 1.472 1.850 2.308 2.936 3.190 3.190 
 2224 1.489 1.868 2.324 2.940 3.208 3.208 
 2225 1.515 1.854 2.321 2.965 3.245 3.245 
 2226 1.525 1.862 2.285 2.919 3.281 3.281 
 2227 1.560 1.895 2.284 2.894 3.314 3.314 
 2228 1.544 1.909 2.301 2.921 3.361 3.361 
 2229 1.517 1.936 2.354 2.963 3.358 3.358 
 2230 1.456 1.939 2.371 3.038 3.371 3.371 
 2231 1.452 1.971 2.384 3.033 3.335 3.335 
 2232 1.394 1.974 2.331 3.025 3.355 3.355 
 2233 1.366 1.943 2.294 3.003 3.340 3.340 
 2234 1.353 1.905 2.246 2.995 3.362 3.362 
 2235 1.460 1.913 2.301 3.037 3.323 3.323 
 2236 1.486 1.920 2.359 3.016 3.342 3.342 
 2237 1.503 1.937 2.372 3.044 3.371 3.371 
 2238 1.442 1.953 2.314 3.033 3.403 3.403 
 2239 1.475 1.954 2.265 3.072 3.418 3.418 
 2240 1.477 1.967 2.267 3.097 3.395 3.395 
 2241 1.513 1.957 2.296 3.122 3.390 3.390 
 2242 1.498 1.960 2.310 3.122 3.416 3.416 
 2243 1.470 1.991 2.325 3.130 3.433 3.433 
 2244 1.447 2.004 2.334 3.087 3.417 3.417 
 2245 1.457 2.041 2.342 3.064 3.394 3.394 
 2246 1.502 2.016 2.304 3.067 3.392 3.392 
 2247 1.503 2.023 2.258 3.074 3.393 3.393 
 2248 1.461 2.033 2.282 3.035 3.389 3.389 
 2249 1.383 2.002 2.355 2.989 3.373 3.373 
 2250 1.378 1.983 2.429 2.999 3.376 3.376 
 2251 1.424 1.971 2.420 3.028 3.421 3.421 
 2252 1.509 1.982 2.395 3.068 3.445 3.445 
 2253 1.552 1.999 2.376 3.101 3.432 3.432 
 2254 1.518 1.975 2.388 3.130 3.362 3.362 
 2255 1.508 2.003 2.387 3.108 3.342 3.342 
 2256 1.513 2.002 2.386 3.071 3.373 3.373 
 2257 1.562 2.032 2.401 3.057 3.354 3.354 
 2258 1.574 2.057 2.444 3.078 3.387 3.387 
 2259 1.546 2.022 2.451 3.134 3.384 3.384 
 2260 1.542 2.009 2.446 3.158 3.451 3.451 
 2261 1.505 1.974 2.439 3.173 3.447 3.447 
 2262 1.525 2.041 2.471 3.141 3.443 3.443 
 2263 1.482 2.047 2.473 3.114 3.404 3.404 
 2264 1.517 2.071 2.477 3.088 3.410 3.410 
 2265 1.504 2.013 2.499 3.096 3.442 3.442 
 2266 1.537 2.010 2.497 3.107 3.471 3.471 
 2267 1.540 1.971 2.479 3.107 3.477 3.477 
 2268 1.519 1.990 2.447 3.105 3.507 3.507 
 2269 1.479 1.983 2.467 3.152 3.503 3.503 
 2270 1.471 2.002 2.492 3.168 3.482 3.482 
 2271 1.470 2.005 2.504 3.225 3.426 3.426 
 2272 1.510 2.020 2.485 3.221 3.439 3.439 
 2273 1.484 2.045 2.481 3.229 3.474 3.474 
 2274 1.519 2.069 2.472 3.189 3.532 3.532 
 2275 1.490 2.057 2.458 3.170 3.551 3.551 
 2276 1.467 2.080 2.438 3.149 3.521 3.521 
 2277 1.430 2.083 2.401 3.110 3.473 3.473 
 2278 1.448 2.107 2.390 3.129 3.452 3.452 
 2279 1.476 2.088 2.391 3.148 3.471 3.471 
 2280 1.525 2.068 2.427 3.195 3.536 3.536 
 2281 1.497 2.040 2.460 3.194 3.574 3.574 
 2282 1.494 2.037 2.436 3.204 3.595 3.595 
 2283 1.443 2.003 2.381 3.172 3.573 3.573 
 2284 1.477 2.001 2.388 3.190 3.565 3.565 
 2285 1.495 1.989 2.388 3.162 3.532 3.532 
 2286 1.518 2.038 2.469 3.209 3.496 3.496 
 2287 1.522 2.058 2.492 3.189 3.454 3.454 
 2288 1.557 2.068 2.499 3.237 3.459 3.459 
 2289 1.516 2.080 2.454 3.224 3.467 3.467 
 2290 1.486 2.082 2.384 3.190 3.513 3.513 
 2291 1.449 2.078 2.387 3.205 3.542 3.542 
 2292 1.447 2.020 2.385 3.210 3.574 3.574 
 2293 1.466 1.994 2.400 3.262 3.560 3.560 
 2294 1.494 1.999 2.462 3.254 3.555 3.555 
 2295 1.548 2.011 2.513 3.242 3.518 3.519 
 2296 1.571 1.998 2.552 3.224 3.501 3.503 
 2297 1.560 1.972 2.498 3.204 3.502 3.509 
 2298 1.562 1.981 2.440 3.246 3.537 3.533 
 2299 1.552 2.025 2.415 3.223 3.572 3.585 
 2300 1.526 2.047 2.436 3.256 3.589 3.618 
 2301 1.490 2.050 2.480 3.214 3.595 3.632 
 2302 1.476 2.053 2.567 3.232 3.587 3.641 
 2303 1.505 2.053 2.546 3.204 3.585 3.591 
 2304 1.563 2.051 2.529 3.203 3.582 3.557 
 2305 1.557 2.019 2.477 3.193 3.601 3.503 
 2306 1.505 2.000 2.522 3.213 3.590 3.515 
 2307 1.492 2.004 2.541 3.206 3.611 3.586 
 2308 1.543 2.043 2.506 3.221 3.647 3.640 
 2309 1.643 2.072 2.507 3.228 3.662 3.668 
 2310 1.573 2.064 2.494 3.257 3.626 3.631 
 2311 1.500 2.060 2.496 3.213 3.620 3.591 
 2312 1.426 2.063 2.529 3.232 3.638 3.589 
 2313 1.487 2.073 2.541 3.252 3.652 3.627 
 2314 1.546 2.059 2.562 3.339 3.663 3.681 
 2315 1.539 2.047 2.541 3.310 3.669 3.674 
 2316 1.540 2.092 2.561 3.292 3.677 3.642 
 2317 1.512 2.089 2.593 3.277 3.628 3.609 
 2318 1.543 2.074 2.564 3.291 3.593 3.618 
 2319 1.508 2.056 2.567 3.294 3.578 3.615 
 2320 1.527 2.071 2.557 3.288 3.588 3.661 
 2321 1.537 2.113 2.590 3.309 3.582 3.679 
 2322 1.572 2.151 2.566 3.331 3.594 3.697 
 2323 1.569 2.203 2.572 3.379 3.601 3.712 
 2324 1.518 2.174 2.560 3.329 3.597 3.704 
 2325 1.475 2.162 2.583 3.300 3.606 3.702 
 2326 1.479 2.111 2.566 3.272 3.599 3.633 
 2327 1.509 2.143 2.570 3.308 3.622 3.637 
 2328 1.543 2.102 2.538 3.308 3.620 3.675 
 2329 1.520 2.117 2.526 3.303 3.663 3.725 
 2330 1.495 2.129 2.503 3.259 3.647 3.717 
 2331 1.473 2.176 2.518 3.254 3.652 3.661 
 2332 1.523 2.107 2.554 3.253 3.577 3.631 
 2333 1.547 2.080 2.609 3.287 3.601 3.585 
 2334 1.572 2.048 2.655 3.359 3.628 3.567 
 2335 1.538 2.091 2.680 3.374 3.700 3.549 
 2336 1.561 2.097 2.675 3.397 3.724 3.563 
 2337 1.557 2.116 2.630 3.393 3.708 3.599 
 2338 1.616 2.148 2.615 3.414 3.698 3.634 
 2339 1.617 2.153 2.618 3.399 3.708 3.655 
 2340 1.660 2.100 2.639 3.339 3.677 3.651 
 2341 1.636 2.064 2.648 3.254 3.661 3.643 
 2342 1.630 2.058 2.608 3.249 3.642 3.666 
 2343 1.586 2.070 2.601 3.298 3.657 3.715 
 2344 1.496 2.101 2.567 3.339 3.633 3.715 
 2345 1.514 2.131 2.634 3.382 3.600 3.683 
 2346 1.505 2.161 2.639 3.400 3.640 3.652 
 2347 1.582 2.189 2.678 3.433 3.658 3.665 
 2348 1.581 2.199 2.644 3.455 3.699 3.679 
 2349 1.615 2.219 2.643 3.469 3.662 3.655 
 2350 1.580 2.191 2.599 3.474 3.660 3.641 
 2351 1.563 2.165 2.556 3.426 3.637 3.666 
 2352 1.546 2.158 2.534 3.394 3.614 3.674 
 2353 1.527 2.161 2.553 3.411 3.643 3.686 
 2354 1.513 2.152 2.587 3.406 3.638 3.671 
 2355 1.486 2.131 2.615 3.406 3.666 3.656 
 2356 1.553 2.088 2.609 3.393 3.687 3.683 
 2357 1.563 2.076 2.630 3.399 3.704 3.655 
 2358 1.590 2.087 2.647 3.428 3.692 3.709 
 2359 1.582 2.180 2.684 3.435 3.615 3.700 
 2360 1.578 2.242 2.692 3.446 3.595 3.758 
 2361 1.552 2.237 2.715 3.410 3.622 3.755 
 2362 1.493 2.145 2.702 3.442 3.648 3.746 
 2363 1.447 2.075 2.723 3.472 3.696 3.723 
 2364 1.453 2.086 2.718 3.468 3.704 3.727 
 2365 1.512 2.146 2.740 3.445 3.730 3.720 
 2366 1.555 2.205 2.713 3.412 3.709 3.720 
 2367 1.599 2.233 2.681 3.411 3.714 3.689 
 2368 1.536 2.267 2.633 3.414 3.703 3.704 
 2369 1.549 2.257 2.615 3.392 3.716 3.721 
 2370 1.536 2.217 2.616 3.416 3.685 3.713 
 2371 1.556 2.164 2.638 3.413 3.682 3.705 
 2372 1.569 2.163 2.612 3.467 3.651 3.712 
 2373 1.560 2.184 2.618 3.527 3.645 3.711 
 2374 1.605 2.277 2.674 3.534 3.659 3.761 
 2375 1.571 2.277 2.687 3.527 3.676 3.772 
 2376 1.556 2.284 2.709 3.444 3.719 3.821 
 2377 1.541 2.195 2.672 3.460 3.714 3.755 
 2378 1.563 2.164 2.701 3.457 3.700 3.705 
 2379 1.552 2.160 2.667 3.465 3.676 3.671 
 2380 1.560 2.222 2.649 3.443 3.683 3.678 
 2381 1.564 2.276 2.652 3.459 3.691 3.697 
 2382 1.603 2.276 2.651 3.483 3.718 3.726 
 2383 1.622 2.234 2.691 3.456 3.724 3.759 
 2384 1.637 2.225 2.713 3.448 3.745 3.751 
 2385 1.614 2.217 2.703 3.437 3.729 3.741 
 2386 1.602 2.204 2.670 3.470 3.727 3.718 
 2387 1.540 2.213 2.660 3.475 3.717 3.710 
 2388 1.548 2.187 2.689 3.474 3.679 3.675 
 2389 1.485 2.156 2.709 3.471 3.666 3.638 
 2390 1.498 2.107 2.702 3.462 3.669 3.628 
 2391 1.510 2.132 2.699 3.453 3.693 3.640 
 2392 1.534 2.163 2.690 3.447 3.742 3.729 
 2393 1.596 2.128 2.645 3.434 3.731 3.782 
 2394 1.629 2.132 2.633 3.454 3.755 3.808 
 2395 1.651 2.129 2.639 3.463 3.705 3.771 
 2396 1.632 2.202 2.674 3.490 3.701 3.694 
 2397 1.562 2.233 2.704 3.534 3.738 3.660 
 2398 1.543 2.303 2.675 3.557 3.751 3.670 
 2399 1.517 2.274 2.672 3.551 3.762 3.749 
 2400 1.511 2.248 2.659 3.514 3.745 3.757 
 2401 1.504 2.207 2.652 3.498 3.738 3.799 
 2402 1.489 2.230 2.653 3.525 3.742 3.784 
 2403 1.555 2.239 2.645 3.523 3.718 3.793 
 2404 1.585 2.239 2.645 3.480 3.734 3.752 
 2405 1.618 2.258 2.670 3.432 3.684 3.760 
 2406 1.601 2.223 2.690 3.409 3.688 3.757 
 2407 1.595 2.190 2.693 3.435 3.661 3.749 
 2408 1.555 2.167 2.642 3.457 3.689 3.704 
 2409 1.569 2.260 2.644 3.485 3.669 3.713 
 2410 1.577 2.270 2.695 3.504 3.679 3.674 
 2411 1.613 2.274 2.750 3.499 3.655 3.701 
 2412 1.561 2.215 2.777 3.493 3.647 3.740 
 2413 1.574 2.271 2.773 3.486 3.679 3.792 
 2414 1.584 2.255 2.733 3.502 3.743 3.786 
 2415 1.616 2.233 2.689 3.522 3.784 3.745 
 2416 1.615 2.168 2.667 3.542 3.786 3.736 
 2417 1.615 2.139 2.671 3.537 3.784 3.730 
 2418 1.635 2.105 2.686 3.530 3.781 3.726 
 2419 1.641 2.121 2.692 3.507 3.782 3.748 
 2420 1.621 2.201 2.728 3.509 3.769 3.749 
 2421 1.608 2.234 2.738 3.477 3.765 3.778 
 2422 1.600 2.226 2.696 3.449 3.736 3.719 
 2423 1.557 2.178 2.697 3.435 3.761 3.753 
 2424 1.532 2.187 2.702 3.495 3.739 3.744 
 2425 1.483 2.206 2.743 3.558 3.749 3.787 
 2426 1.531 2.219 2.725 3.583 3.750 3.764 
 2427 1.574 2.235 2.726 3.581 3.769 3.802 
 2428 1.599 2.210 2.733 3.579 3.751 3.805 
 2429 1.632 2.201 2.693 3.589 3.710 3.813 
 2430 1.607 2.180 2.638 3.558 3.713 3.748 
 2431 1.640 2.252 2.641 3.528 3.712 3.721 
 2432 1.570 2.248 2.679 3.508 3.717 3.702 
 2433 1.563 2.298 2.685 3.502 3.691 3.708 
 2434 1.537 2.258 2.718 3.522 3.708 3.689 
 2435 1.595 2.273 2.740 3.498 3.700 3.699 
 2436 1.581 2.217 2.793 3.513 3.721 3.710 
 2437 1.577 2.191 2.789 3.503 3.751 3.756 
 2438 1.563 2.191 2.807 3.574 3.732 3.794 
 2439 1.604 2.226 2.834 3.568 3.754 3.792 
 2440 1.591 2.264 2.833 3.562 3.761 3.779 
 2441 1.567 2.255 2.809 3.522 3.836 3.762 
 2442 1.560 2.254 2.752 3.544 3.826 3.777 
 2443 1.611 2.225 2.704 3.539 3.830 3.809 
 2444 1.678 2.223 2.678 3.514 3.823 3.844 
 2445 1.674 2.237 2.698 3.471 3.823 3.859 
 2446 1.633 2.260 2.710 3.474 3.833 3.853 
 2447 1.563 2.274 2.693 3.490 3.810 3.820 
 2448 1.536 2.289 2.682 3.515 3.795 3.792 
 2449 1.572 2.317 2.713 3.534 3.770 3.793 
 2450 1.574 2.317 2.771 3.551 3.798 3.837 
 2451 1.568 2.279 2.776 3.538 3.840 3.875 
 2452 1.548 2.219 2.773 3.503 3.814 3.859 
 2453 1.567 2.239 2.799 3.492 3.784 3.826 
 2454 1.590 2.245 2.824 3.487 3.740 3.795 
 2455 1.613 2.324 2.794 3.486 3.750 3.789 
 2456 1.582 2.340 2.731 3.499 3.746 3.819 
 2457 1.601 2.368 2.719 3.508 3.740 3.835 
 2458 1.595 2.335 2.739 3.533 3.726 3.820 
 2459 1.636 2.353 2.750 3.502 3.750 3.777 
 2460 1.612 2.377 2.726 3.522 3.793 3.798 
 2461 1.604 2.363 2.713 3.545 3.828 3.852 
 2462 1.603 2.285 2.708 3.545 3.864 3.901 
 2463 1.627 2.229 2.745 3.561 3.849 3.878 
 2464 1.626 2.255 2.763 3.516 3.869 3.842 
 2465 1.618 2.321 2.785 3.498 3.820 3.783 
 2466 1.622 2.349 2.730 3.469 3.816 3.785 
 2467 1.654 2.365 2.738 3.503 3.798 3.776 
 2468 1.699 2.336 2.706 3.571 3.803 3.826 
 2469 1.678 2.324 2.728 3.573 3.797 3.811 
 2470 1.634 2.264 2.708 3.500 3.809 3.837 
 2471 1.579 2.271 2.753 3.415 3.787 3.887 
 2472 1.616 2.228 2.753 3.398 3.781 3.914 
 2473 1.628 2.241 2.784 3.423 3.790 3.958 
 2474 1.670 2.259 2.789 3.448 3.823 3.939 
 2475 1.654 2.340 2.833 3.469 3.829 3.985 
 2476 1.627 2.335 2.774 3.486 3.811 3.970 
