year steric_MMCP2.6 steric_MMCP4.5 steric_MMCP6.0 steric_MMCP-break steric_MMCP8.5 steric_MMCP-feedback 
 3334 0.405 0.712 1.045 1.773 2.360 2.473 
 3335 0.406 0.712 1.045 1.773 2.360 2.474 
 3336 0.406 0.712 1.045 1.774 2.361 2.474 
 3337 0.406 0.713 1.045 1.773 2.361 2.474 
 3338 0.406 0.713 1.045 1.773 2.361 2.476 
 3339 0.405 0.713 1.044 1.774 2.361 2.477 
 3340 0.405 0.712 1.044 1.773 2.361 2.478 
 3341 0.405 0.712 1.044 1.773 2.361 2.479 
 3342 0.405 0.712 1.045 1.774 2.362 2.479 
 3343 0.406 0.711 1.044 1.774 2.363 2.479 
 3344 0.406 0.711 1.044 1.774 2.363 2.480 
 3345 0.406 0.711 1.044 1.773 2.364 2.480 
 3346 0.406 0.711 1.045 1.773 2.364 2.481 
 3347 0.406 0.712 1.045 1.774 2.365 2.482 
 3348 0.407 0.712 1.046 1.776 2.366 2.484 
 3349 0.408 0.712 1.046 1.777 2.367 2.485 
 3350 0.407 0.712 1.046 1.778 2.367 2.486 
 3351 0.407 0.712 1.047 1.777 2.368 2.487 
 3352 0.407 0.712 1.047 1.777 2.369 2.488 
 3353 0.407 0.712 1.047 1.777 2.370 2.489 
 3354 0.408 0.711 1.047 1.777 2.370 2.489 
 3355 0.407 0.711 1.046 1.777 2.370 2.490 
 3356 0.407 0.710 1.046 1.777 2.370 2.491 
 3357 0.406 0.710 1.045 1.777 2.370 2.492 
 3358 0.407 0.710 1.046 1.777 2.371 2.493 
 3359 0.406 0.710 1.047 1.778 2.371 2.494 
 3360 0.407 0.710 1.047 1.779 2.371 2.495 
 3361 0.407 0.710 1.046 1.779 2.372 2.495 
 3362 0.407 0.710 1.046 1.779 2.372 2.496 
 3363 0.407 0.709 1.045 1.780 2.373 2.497 
 3364 0.408 0.709 1.046 1.781 2.375 2.497 
 3365 0.408 0.709 1.046 1.781 2.376 2.498 
 3366 0.408 0.709 1.045 1.782 2.378 2.499 
 3367 0.408 0.709 1.046 1.782 2.378 2.499 
 3368 0.408 0.707 1.045 1.783 2.379 2.500 
 3369 0.407 0.708 1.044 1.783 2.379 2.500 
 3370 0.407 0.708 1.045 1.783 2.379 2.501 
 3371 0.407 0.708 1.044 1.783 2.380 2.502 
 3372 0.407 0.708 1.045 1.784 2.381 2.503 
 3373 0.407 0.708 1.045 1.784 2.381 2.504 
 3374 0.406 0.709 1.046 1.785 2.381 2.505 
 3375 0.407 0.708 1.046 1.785 2.382 2.506 
 3376 0.407 0.709 1.045 1.785 2.383 2.506 
 3377 0.407 0.708 1.046 1.787 2.384 2.507 
 3378 0.406 0.708 1.046 1.787 2.385 2.508 
 3379 0.407 0.708 1.046 1.787 2.386 2.508 
 3380 0.406 0.707 1.044 1.787 2.386 2.509 
 3381 0.406 0.708 1.045 1.788 2.386 2.509 
 3382 0.406 0.708 1.045 1.788 2.387 2.510 
 3383 0.405 0.707 1.045 1.789 2.388 2.511 
 3384 0.405 0.708 1.045 1.789 2.388 2.511 
 3385 0.405 0.708 1.045 1.790 2.388 2.512 
 3386 0.404 0.708 1.046 1.790 2.389 2.514 
 3387 0.404 0.708 1.047 1.790 2.390 2.515 
 3388 0.404 0.708 1.047 1.790 2.391 2.516 
 3389 0.405 0.708 1.046 1.791 2.392 2.517 
 3390 0.405 0.708 1.046 1.791 2.393 2.517 
 3391 0.404 0.708 1.045 1.793 2.393 2.518 
 3392 0.405 0.708 1.043 1.794 2.394 2.519 
 3393 0.406 0.708 1.043 1.794 2.395 2.519 
 3394 0.405 0.708 1.043 1.794 2.395 2.519 
 3395 0.405 0.708 1.044 1.794 2.396 2.519 
 3396 0.404 0.707 1.044 1.794 2.396 2.520 
 3397 0.404 0.706 1.043 1.794 2.396 2.521 
 3398 0.404 0.706 1.043 1.795 2.397 2.522 
 3399 0.403 0.706 1.043 1.796 2.398 2.523 
 3400 0.404 0.707 1.042 1.797 2.400 2.524 
 3401 0.403 0.706 1.042 1.797 2.401 2.525 
 3402 0.404 0.707 1.043 1.796 2.401 2.526 
 3403 0.404 0.707 1.043 1.796 2.401 2.527 
 3404 0.404 0.706 1.043 1.796 2.401 2.528 
 3405 0.403 0.707 1.043 1.797 2.402 2.528 
 3406 0.403 0.707 1.043 1.798 2.403 2.528 
 3407 0.403 0.707 1.042 1.799 2.403 2.529 
 3408 0.403 0.706 1.042 1.799 2.404 2.530 
 3409 0.404 0.706 1.043 1.799 2.405 2.531 
 3410 0.403 0.706 1.043 1.799 2.405 2.532 
 3411 0.403 0.705 1.043 1.799 2.405 2.533 
 3412 0.403 0.705 1.043 1.800 2.406 2.535 
 3413 0.403 0.706 1.043 1.800 2.407 2.537 
 3414 0.403 0.706 1.043 1.800 2.408 2.537 
 3415 0.404 0.706 1.043 1.801 2.408 2.538 
 3416 0.403 0.705 1.043 1.802 2.408 2.538 
 3417 0.403 0.705 1.042 1.802 2.409 2.539 
 3418 0.403 0.705 1.042 1.803 2.410 2.540 
 3419 0.404 0.705 1.041 1.803 2.411 2.540 
 3420 0.404 0.705 1.041 1.804 2.411 2.540 
 3421 0.404 0.705 1.041 1.804 2.411 2.540 
 3422 0.403 0.705 1.041 1.805 2.412 2.540 
 3423 0.403 0.705 1.041 1.806 2.413 2.541 
 3424 0.403 0.705 1.041 1.806 2.414 2.542 
 3425 0.403 0.705 1.041 1.806 2.415 2.542 
 3426 0.404 0.705 1.041 1.806 2.415 2.543 
 3427 0.404 0.704 1.041 1.807 2.415 2.545 
 3428 0.404 0.704 1.042 1.808 2.416 2.546 
 3429 0.404 0.704 1.042 1.808 2.417 2.547 
 3430 0.405 0.704 1.042 1.807 2.418 2.549 
 3431 0.405 0.704 1.041 1.808 2.419 2.549 
 3432 0.404 0.704 1.040 1.807 2.419 2.551 
 3433 0.404 0.703 1.040 1.807 2.419 2.552 
 3434 0.405 0.703 1.040 1.807 2.419 2.552 
 3435 0.404 0.703 1.040 1.808 2.419 2.553 
 3436 0.404 0.703 1.041 1.808 2.420 2.553 
 3437 0.404 0.704 1.040 1.809 2.421 2.555 
 3438 0.404 0.703 1.041 1.811 2.422 2.556 
 3439 0.404 0.702 1.043 1.812 2.423 2.557 
 3440 0.404 0.702 1.043 1.812 2.423 2.558 
 3441 0.403 0.702 1.043 1.812 2.423 2.559 
 3442 0.403 0.703 1.042 1.813 2.424 2.560 
 3443 0.403 0.703 1.042 1.812 2.425 2.560 
 3444 0.403 0.702 1.041 1.812 2.426 2.561 
 3445 0.403 0.702 1.042 1.812 2.426 2.563 
 3446 0.403 0.701 1.043 1.812 2.427 2.564 
 3447 0.403 0.701 1.043 1.812 2.427 2.565 
 3448 0.404 0.702 1.043 1.812 2.426 2.566 
 3449 0.404 0.702 1.042 1.814 2.427 2.567 
 3450 0.404 0.702 1.042 1.814 2.427 2.568 
 3451 0.404 0.701 1.043 1.814 2.429 2.569 
 3452 0.404 0.702 1.043 1.814 2.430 2.570 
 3453 0.405 0.702 1.044 1.814 2.430 2.571 
 3454 0.404 0.702 1.044 1.814 2.431 2.572 
 3455 0.404 0.702 1.044 1.815 2.431 2.572 
 3456 0.404 0.702 1.044 1.815 2.431 2.573 
 3457 0.405 0.702 1.043 1.814 2.432 2.574 
 3458 0.405 0.702 1.044 1.814 2.433 2.574 
 3459 0.404 0.702 1.044 1.814 2.434 2.574 
 3460 0.404 0.701 1.043 1.815 2.434 2.574 
 3461 0.403 0.700 1.044 1.816 2.434 2.575 
 3462 0.402 0.700 1.044 1.816 2.433 2.575 
 3463 0.402 0.699 1.045 1.816 2.434 2.576 
 3464 0.402 0.699 1.045 1.816 2.435 2.576 
 3465 0.402 0.699 1.045 1.816 2.435 2.577 
 3466 0.402 0.699 1.046 1.816 2.436 2.579 
 3467 0.403 0.700 1.045 1.817 2.438 2.580 
 3468 0.402 0.700 1.044 1.818 2.438 2.580 
 3469 0.403 0.699 1.044 1.818 2.438 2.580 
 3470 0.403 0.699 1.044 1.818 2.439 2.580 
 3471 0.403 0.698 1.044 1.818 2.440 2.581 
 3472 0.403 0.698 1.044 1.818 2.441 2.580 
 3473 0.403 0.699 1.044 1.819 2.441 2.581 
 3474 0.403 0.698 1.045 1.820 2.442 2.581 
 3475 0.402 0.698 1.046 1.820 2.444 2.583 
 3476 0.403 0.697 1.046 1.821 2.445 2.584 
 3477 0.403 0.697 1.046 1.821 2.446 2.585 
 3478 0.403 0.698 1.047 1.821 2.447 2.587 
 3479 0.404 0.698 1.047 1.822 2.447 2.586 
 3480 0.404 0.698 1.047 1.823 2.447 2.587 
 3481 0.404 0.698 1.047 1.823 2.446 2.588 
 3482 0.404 0.699 1.046 1.824 2.446 2.589 
 3483 0.403 0.699 1.046 1.824 2.447 2.589 
 3484 0.403 0.698 1.046 1.823 2.448 2.589 
 3485 0.403 0.698 1.046 1.823 2.450 2.589 
 3486 0.403 0.698 1.046 1.823 2.450 2.590 
 3487 0.403 0.697 1.045 1.823 2.451 2.591 
 3488 0.403 0.697 1.045 1.823 2.452 2.592 
 3489 0.404 0.697 1.046 1.824 2.452 2.593 
 3490 0.403 0.698 1.046 1.824 2.452 2.594 
 3491 0.403 0.698 1.046 1.824 2.452 2.596 
 3492 0.404 0.699 1.046 1.825 2.453 2.597 
 3493 0.405 0.698 1.045 1.826 2.453 2.598 
 3494 0.405 0.697 1.045 1.826 2.453 2.599 
 3495 0.405 0.698 1.045 1.826 2.454 2.600 
 3496 0.404 0.699 1.046 1.826 2.455 2.599 
 3497 0.404 0.698 1.046 1.827 2.455 2.600 
 3498 0.403 0.698 1.046 1.827 2.456 2.600 
 3499 0.404 0.697 1.046 1.827 2.457 2.600 
 3500 0.404 0.697 1.046 1.827 2.457 2.600 
 3501 0.404 0.697 1.047 1.827 2.458 2.601 
 3502 0.403 0.698 1.046 1.828 2.457 2.601 
 3503 0.403 0.698 1.047 1.828 2.458 2.603 
 3504 0.403 0.698 1.047 1.828 2.459 2.603 
 3505 0.404 0.698 1.047 1.828 2.460 2.603 
 3506 0.404 0.697 1.048 1.829 2.461 2.602 
 3507 0.404 0.696 1.048 1.829 2.461 2.602 
 3508 0.404 0.696 1.048 1.829 2.462 2.603 
 3509 0.404 0.696 1.048 1.829 2.462 2.604 
 3510 0.404 0.697 1.048 1.830 2.462 2.604 
 3511 0.404 0.697 1.048 1.829 2.462 2.605 
 3512 0.404 0.697 1.048 1.829 2.462 2.605 
 3513 0.404 0.697 1.047 1.829 2.463 2.605 
 3514 0.404 0.697 1.048 1.830 2.463 2.606 
 3515 0.404 0.697 1.049 1.831 2.463 2.607 
 3516 0.405 0.697 1.049 1.832 2.463 2.608 
 3517 0.405 0.697 1.049 1.832 2.464 2.609 
 3518 0.405 0.697 1.049 1.832 2.464 2.609 
 3519 0.405 0.697 1.049 1.833 2.465 2.610 
 3520 0.405 0.697 1.048 1.833 2.465 2.611 
 3521 0.405 0.696 1.049 1.834 2.465 2.612 
 3522 0.404 0.696 1.049 1.834 2.465 2.613 
 3523 0.403 0.696 1.050 1.834 2.466 2.613 
 3524 0.403 0.696 1.050 1.834 2.467 2.614 
 3525 0.403 0.695 1.049 1.834 2.467 2.615 
 3526 0.402 0.696 1.049 1.834 2.467 2.615 
 3527 0.403 0.696 1.048 1.834 2.467 2.615 
 3528 0.403 0.696 1.049 1.835 2.468 2.615 
 3529 0.404 0.696 1.050 1.835 2.468 2.615 
 3530 0.403 0.697 1.050 1.836 2.469 2.616 
 3531 0.403 0.696 1.050 1.837 2.471 2.617 
 3532 0.403 0.696 1.049 1.837 2.471 2.618 
 3533 0.403 0.696 1.049 1.837 2.472 2.618 
 3534 0.403 0.696 1.049 1.837 2.472 2.619 
 3535 0.402 0.696 1.050 1.837 2.472 2.620 
 3536 0.402 0.696 1.050 1.837 2.472 2.619 
 3537 0.401 0.696 1.050 1.838 2.473 2.619 
 3538 0.402 0.696 1.050 1.838 2.474 2.619 
 3539 0.402 0.695 1.049 1.839 2.474 2.620 
 3540 0.402 0.694 1.049 1.840 2.474 2.621 
 3541 0.402 0.694 1.049 1.841 2.474 2.622 
 3542 0.403 0.693 1.049 1.841 2.475 2.623 
 3543 0.403 0.692 1.050 1.841 2.474 2.624 
 3544 0.403 0.693 1.051 1.841 2.474 2.624 
 3545 0.403 0.693 1.051 1.842 2.474 2.624 
 3546 0.403 0.694 1.051 1.842 2.474 2.624 
 3547 0.403 0.693 1.051 1.841 2.474 2.625 
 3548 0.403 0.693 1.052 1.841 2.476 2.626 
 3549 0.402 0.693 1.051 1.842 2.476 2.626 
 3550 0.402 0.693 1.050 1.841 2.476 2.626 
 3551 0.402 0.693 1.049 1.841 2.476 2.626 
 3552 0.402 0.693 1.049 1.841 2.477 2.626 
 3553 0.402 0.693 1.049 1.841 2.478 2.625 
 3554 0.403 0.692 1.049 1.841 2.479 2.625 
 3555 0.403 0.693 1.050 1.842 2.480 2.626 
 3556 0.403 0.693 1.050 1.842 2.480 2.627 
 3557 0.403 0.693 1.050 1.842 2.481 2.628 
 3558 0.403 0.693 1.050 1.843 2.481 2.628 
 3559 0.402 0.693 1.050 1.842 2.480 2.629 
 3560 0.402 0.692 1.051 1.842 2.480 2.629 
 3561 0.402 0.691 1.051 1.843 2.480 2.629 
 3562 0.401 0.691 1.050 1.843 2.479 2.629 
 3563 0.402 0.691 1.050 1.844 2.480 2.629 
 3564 0.402 0.691 1.050 1.844 2.480 2.630 
 3565 0.402 0.691 1.051 1.844 2.480 2.631 
 3566 0.401 0.691 1.052 1.845 2.482 2.631 
 3567 0.401 0.691 1.052 1.845 2.482 2.632 
 3568 0.401 0.691 1.052 1.846 2.482 2.632 
 3569 0.401 0.692 1.051 1.846 2.482 2.633 
 3570 0.401 0.691 1.051 1.846 2.482 2.633 
 3571 0.401 0.691 1.051 1.847 2.483 2.633 
 3572 0.400 0.691 1.051 1.846 2.484 2.634 
 3573 0.399 0.691 1.051 1.847 2.485 2.635 
 3574 0.399 0.692 1.050 1.846 2.485 2.636 
 3575 0.399 0.692 1.051 1.847 2.486 2.637 
 3576 0.399 0.692 1.051 1.847 2.486 2.637 
 3577 0.399 0.691 1.051 1.848 2.487 2.638 
 3578 0.399 0.690 1.051 1.849 2.488 2.639 
 3579 0.399 0.690 1.050 1.850 2.488 2.640 
 3580 0.399 0.690 1.051 1.850 2.489 2.641 
 3581 0.399 0.690 1.051 1.850 2.490 2.641 
 3582 0.399 0.691 1.051 1.849 2.490 2.641 
 3583 0.400 0.690 1.051 1.850 2.491 2.641 
 3584 0.400 0.690 1.052 1.850 2.492 2.642 
 3585 0.401 0.690 1.051 1.850 2.492 2.642 
 3586 0.401 0.689 1.051 1.851 2.492 2.643 
 3587 0.401 0.688 1.051 1.850 2.492 2.644 
 3588 0.401 0.688 1.052 1.850 2.492 2.644 
 3589 0.401 0.688 1.052 1.850 2.492 2.644 
 3590 0.400 0.688 1.053 1.850 2.492 2.645 
 3591 0.399 0.688 1.054 1.851 2.492 2.646 
 3592 0.400 0.688 1.054 1.851 2.493 2.646 
 3593 0.400 0.689 1.054 1.851 2.494 2.646 
 3594 0.400 0.689 1.053 1.850 2.495 2.646 
 3595 0.400 0.690 1.054 1.851 2.495 2.647 
 3596 0.400 0.689 1.054 1.850 2.495 2.648 
 3597 0.400 0.689 1.054 1.850 2.495 2.649 
 3598 0.400 0.688 1.055 1.850 2.495 2.649 
 3599 0.400 0.689 1.054 1.851 2.494 2.649 
 3600 0.400 0.688 1.054 1.853 2.495 2.648 
 3601 0.400 0.688 1.053 1.853 2.494 2.649 
 3602 0.400 0.687 1.053 1.853 2.495 2.650 
 3603 0.399 0.686 1.054 1.853 2.496 2.651 
 3604 0.399 0.687 1.054 1.853 2.496 2.653 
 3605 0.399 0.687 1.054 1.854 2.496 2.654 
 3606 0.400 0.687 1.055 1.855 2.496 2.654 
 3607 0.400 0.687 1.055 1.855 2.497 2.654 
 3608 0.400 0.687 1.055 1.856 2.497 2.655 
 3609 0.400 0.687 1.055 1.856 2.498 2.655 
 3610 0.399 0.687 1.055 1.858 2.499 2.656 
 3611 0.398 0.687 1.054 1.858 2.499 2.657 
 3612 0.398 0.687 1.054 1.859 2.499 2.658 
 3613 0.398 0.687 1.055 1.859 2.499 2.658 
 3614 0.398 0.687 1.054 1.859 2.498 2.658 
 3615 0.398 0.686 1.054 1.860 2.498 2.658 
 3616 0.398 0.686 1.053 1.860 2.498 2.658 
 3617 0.399 0.685 1.054 1.860 2.499 2.659 
 3618 0.399 0.686 1.055 1.860 2.500 2.660 
 3619 0.398 0.686 1.055 1.859 2.500 2.660 
 3620 0.398 0.686 1.055 1.859 2.500 2.660 
 3621 0.398 0.686 1.054 1.859 2.499 2.660 
 3622 0.398 0.685 1.054 1.860 2.499 2.660 
 3623 0.398 0.685 1.054 1.860 2.499 2.660 
 3624 0.397 0.685 1.054 1.859 2.499 2.660 
 3625 0.397 0.686 1.054 1.860 2.500 2.660 
 3626 0.397 0.685 1.054 1.861 2.501 2.659 
 3627 0.397 0.685 1.055 1.862 2.501 2.660 
 3628 0.397 0.685 1.055 1.862 2.502 2.661 
 3629 0.396 0.685 1.055 1.862 2.503 2.662 
 3630 0.396 0.686 1.054 1.862 2.504 2.662 
 3631 0.396 0.685 1.053 1.862 2.505 2.662 
 3632 0.396 0.686 1.052 1.863 2.505 2.662 
 3633 0.396 0.686 1.052 1.863 2.505 2.663 
 3634 0.396 0.686 1.052 1.863 2.505 2.664 
 3635 0.396 0.685 1.052 1.864 2.506 2.665 
 3636 0.397 0.685 1.052 1.865 2.507 2.665 
 3637 0.397 0.685 1.053 1.866 2.508 2.666 
 3638 0.397 0.685 1.052 1.867 2.508 2.666 
 3639 0.396 0.686 1.052 1.868 2.508 2.667 
 3640 0.396 0.686 1.052 1.868 2.508 2.668 
 3641 0.396 0.686 1.051 1.868 2.508 2.668 
 3642 0.397 0.686 1.051 1.868 2.508 2.668 
 3643 0.397 0.685 1.051 1.869 2.508 2.668 
 3644 0.397 0.685 1.051 1.869 2.507 2.668 
 3645 0.397 0.685 1.051 1.870 2.507 2.669 
 3646 0.396 0.684 1.050 1.870 2.507 2.669 
 3647 0.397 0.685 1.051 1.870 2.508 2.670 
 3648 0.396 0.685 1.051 1.871 2.509 2.670 
 3649 0.396 0.684 1.050 1.872 2.509 2.671 
 3650 0.396 0.685 1.050 1.872 2.509 2.672 
 3651 0.397 0.685 1.050 1.872 2.509 2.672 
 3652 0.396 0.685 1.050 1.872 2.509 2.671 
 3653 0.396 0.685 1.050 1.873 2.509 2.671 
 3654 0.396 0.684 1.050 1.873 2.509 2.671 
 3655 0.397 0.683 1.049 1.874 2.509 2.672 
 3656 0.397 0.682 1.049 1.874 2.510 2.673 
 3657 0.397 0.681 1.049 1.875 2.510 2.673 
 3658 0.397 0.681 1.050 1.875 2.510 2.674 
 3659 0.397 0.682 1.049 1.875 2.510 2.674 
 3660 0.397 0.682 1.049 1.876 2.511 2.675 
 3661 0.397 0.682 1.050 1.876 2.512 2.676 
 3662 0.397 0.682 1.051 1.877 2.512 2.677 
 3663 0.397 0.682 1.051 1.877 2.513 2.677 
 3664 0.397 0.682 1.050 1.878 2.513 2.676 
 3665 0.397 0.682 1.050 1.878 2.514 2.677 
 3666 0.397 0.682 1.049 1.878 2.514 2.678 
 3667 0.396 0.682 1.048 1.878 2.514 2.678 
 3668 0.395 0.682 1.048 1.878 2.515 2.678 
 3669 0.395 0.682 1.048 1.879 2.516 2.678 
 3670 0.396 0.681 1.048 1.880 2.516 2.679 
 3671 0.396 0.682 1.049 1.881 2.516 2.679 
 3672 0.396 0.682 1.049 1.882 2.516 2.678 
 3673 0.395 0.683 1.049 1.882 2.516 2.679 
 3674 0.396 0.683 1.049 1.883 2.516 2.679 
 3675 0.396 0.683 1.049 1.884 2.516 2.680 
 3676 0.396 0.683 1.049 1.885 2.516 2.680 
 3677 0.396 0.683 1.049 1.886 2.515 2.680 
 3678 0.396 0.683 1.049 1.887 2.517 2.680 
 3679 0.397 0.682 1.049 1.887 2.517 2.681 
 3680 0.396 0.683 1.049 1.887 2.518 2.681 
 3681 0.396 0.682 1.048 1.887 2.518 2.681 
 3682 0.396 0.682 1.049 1.887 2.519 2.682 
 3683 0.396 0.681 1.049 1.887 2.520 2.682 
 3684 0.396 0.682 1.050 1.888 2.520 2.683 
 3685 0.396 0.682 1.051 1.888 2.520 2.684 
 3686 0.395 0.683 1.051 1.888 2.521 2.685 
 3687 0.396 0.683 1.051 1.888 2.521 2.686 
 3688 0.396 0.682 1.050 1.888 2.521 2.686 
 3689 0.396 0.682 1.049 1.888 2.522 2.686 
 3690 0.396 0.682 1.047 1.889 2.522 2.686 
 3691 0.395 0.681 1.047 1.889 2.522 2.686 
 3692 0.395 0.681 1.047 1.889 2.522 2.686 
 3693 0.395 0.681 1.047 1.890 2.522 2.687 
 3694 0.396 0.681 1.047 1.891 2.523 2.687 
 3695 0.396 0.681 1.047 1.891 2.523 2.688 
 3696 0.397 0.681 1.047 1.892 2.523 2.689 
 3697 0.397 0.681 1.047 1.893 2.523 2.690 
 3698 0.397 0.680 1.048 1.894 2.524 2.690 
 3699 0.397 0.680 1.048 1.895 2.525 2.690 
 3700 0.397 0.680 1.048 1.896 2.525 2.690 
 3701 0.397 0.680 1.047 1.896 2.525 2.690 
 3702 0.397 0.680 1.047 1.896 2.525 2.690 
 3703 0.397 0.680 1.047 1.896 2.525 2.691 
 3704 0.396 0.680 1.048 1.896 2.525 2.693 
 3705 0.397 0.681 1.047 1.896 2.526 2.693 
 3706 0.397 0.680 1.048 1.897 2.527 2.693 
 3707 0.396 0.680 1.048 1.897 2.527 2.693 
 3708 0.396 0.680 1.048 1.897 2.528 2.693 
 3709 0.396 0.680 1.048 1.899 2.528 2.693 
 3710 0.396 0.681 1.048 1.900 2.528 2.693 
 3711 0.396 0.680 1.048 1.901 2.529 2.694 
 3712 0.395 0.680 1.047 1.903 2.529 2.695 
 3713 0.395 0.679 1.047 1.904 2.529 2.696 
 3714 0.396 0.679 1.047 1.906 2.530 2.697 
 3715 0.396 0.680 1.047 1.906 2.531 2.698 
 3716 0.396 0.679 1.047 1.906 2.532 2.698 
 3717 0.396 0.679 1.047 1.907 2.532 2.698 
 3718 0.395 0.678 1.047 1.907 2.532 2.699 
 3719 0.395 0.678 1.048 1.907 2.533 2.700 
 3720 0.396 0.679 1.047 1.907 2.533 2.700 
 3721 0.396 0.679 1.047 1.908 2.532 2.701 
 3722 0.396 0.679 1.048 1.909 2.533 2.701 
 3723 0.396 0.679 1.048 1.910 2.533 2.702 
 3724 0.395 0.679 1.048 1.911 2.533 2.702 
 3725 0.395 0.679 1.048 1.912 2.533 2.702 
 3726 0.395 0.679 1.048 1.913 2.533 2.703 
 3727 0.395 0.679 1.048 1.913 2.532 2.702 
 3728 0.395 0.679 1.049 1.914 2.532 2.703 
 3729 0.395 0.679 1.048 1.914 2.532 2.704 
 3730 0.395 0.678 1.048 1.914 2.532 2.704 
 3731 0.394 0.678 1.048 1.915 2.534 2.704 
 3732 0.395 0.678 1.048 1.916 2.534 2.703 
 3733 0.395 0.677 1.047 1.917 2.535 2.703 
 3734 0.395 0.677 1.047 1.917 2.536 2.703 
 3735 0.394 0.677 1.048 1.918 2.536 2.703 
 3736 0.394 0.677 1.049 1.919 2.536 2.703 
 3737 0.394 0.677 1.048 1.919 2.536 2.703 
 3738 0.394 0.677 1.047 1.920 2.537 2.703 
 3739 0.393 0.678 1.047 1.920 2.537 2.704 
 3740 0.393 0.677 1.047 1.919 2.538 2.705 
 3741 0.393 0.677 1.048 1.919 2.538 2.706 
 3742 0.393 0.677 1.048 1.919 2.538 2.706 
 3743 0.393 0.677 1.048 1.920 2.538 2.707 
 3744 0.393 0.677 1.049 1.920 2.538 2.707 
 3745 0.392 0.677 1.048 1.921 2.538 2.707 
 3746 0.392 0.677 1.048 1.923 2.537 2.707 
 3747 0.392 0.677 1.048 1.924 2.538 2.708 
 3748 0.393 0.676 1.048 1.924 2.538 2.709 
 3749 0.393 0.676 1.047 1.925 2.539 2.709 
 3750 0.393 0.676 1.047 1.925 2.539 2.710 
 3751 0.393 0.676 1.047 1.926 2.540 2.711 
 3752 0.393 0.676 1.047 1.927 2.541 2.712 
 3753 0.394 0.676 1.047 1.927 2.541 2.713 
 3754 0.394 0.676 1.047 1.927 2.541 2.712 
 3755 0.394 0.676 1.047 1.927 2.541 2.712 
 3756 0.393 0.675 1.048 1.927 2.541 2.712 
 3757 0.393 0.675 1.048 1.927 2.541 2.713 
 3758 0.393 0.675 1.047 1.927 2.541 2.713 
 3759 0.392 0.674 1.047 1.927 2.541 2.712 
 3760 0.392 0.674 1.047 1.928 2.541 2.713 
 3761 0.392 0.673 1.047 1.929 2.541 2.713 
 3762 0.393 0.673 1.047 1.930 2.542 2.714 
 3763 0.393 0.673 1.047 1.930 2.542 2.715 
 3764 0.393 0.673 1.047 1.930 2.543 2.715 
 3765 0.393 0.673 1.047 1.931 2.543 2.715 
 3766 0.393 0.672 1.048 1.931 2.543 2.715 
 3767 0.393 0.672 1.047 1.931 2.544 2.714 
 3768 0.393 0.672 1.047 1.931 2.545 2.714 
 3769 0.392 0.672 1.047 1.932 2.545 2.714 
 3770 0.393 0.671 1.047 1.932 2.546 2.715 
 3771 0.393 0.671 1.047 1.932 2.546 2.717 
 3772 0.393 0.671 1.047 1.932 2.546 2.718 
 3773 0.393 0.671 1.047 1.933 2.546 2.719 
 3774 0.392 0.672 1.046 1.934 2.546 2.719 
 3775 0.392 0.672 1.046 1.934 2.547 2.719 
 3776 0.393 0.672 1.046 1.935 2.546 2.720 
 3777 0.394 0.672 1.046 1.935 2.546 2.720 
 3778 0.395 0.671 1.045 1.935 2.546 2.721 
 3779 0.395 0.671 1.045 1.936 2.547 2.721 
 3780 0.395 0.671 1.045 1.937 2.547 2.721 
 3781 0.394 0.670 1.045 1.937 2.546 2.721 
 3782 0.394 0.670 1.045 1.938 2.546 2.721 
 3783 0.394 0.671 1.045 1.938 2.547 2.720 
 3784 0.393 0.671 1.045 1.938 2.547 2.719 
 3785 0.393 0.672 1.046 1.939 2.548 2.720 
 3786 0.393 0.672 1.045 1.939 2.548 2.720 
 3787 0.394 0.672 1.046 1.940 2.548 2.721 
 3788 0.394 0.672 1.047 1.940 2.548 2.722 
 3789 0.394 0.672 1.047 1.940 2.549 2.723 
 3790 0.394 0.672 1.046 1.940 2.549 2.724 
 3791 0.394 0.672 1.046 1.940 2.549 2.725 
 3792 0.394 0.671 1.046 1.941 2.549 2.726 
 3793 0.393 0.671 1.047 1.942 2.550 2.726 
 3794 0.394 0.671 1.047 1.942 2.550 2.727 
 3795 0.394 0.670 1.047 1.943 2.551 2.727 
 3796 0.394 0.670 1.046 1.943 2.551 2.727 
 3797 0.393 0.670 1.046 1.943 2.552 2.728 
 3798 0.393 0.670 1.046 1.944 2.551 2.728 
 3799 0.393 0.669 1.046 1.945 2.551 2.728 
 3800 0.393 0.669 1.046 1.946 2.552 2.729 
 3801 0.393 0.669 1.046 1.947 2.553 2.730 
 3802 0.393 0.670 1.046 1.947 2.553 2.731 
 3803 0.393 0.670 1.046 1.947 2.553 2.731 
 3804 0.393 0.671 1.046 1.947 2.553 2.731 
 3805 0.393 0.671 1.047 1.948 2.554 2.731 
 3806 0.392 0.670 1.046 1.948 2.554 2.730 
 3807 0.392 0.669 1.046 1.949 2.555 2.730 
 3808 0.392 0.669 1.045 1.948 2.556 2.730 
 3809 0.392 0.669 1.045 1.948 2.556 2.731 
 3810 0.393 0.669 1.045 1.948 2.556 2.731 
 3811 0.393 0.669 1.045 1.948 2.556 2.731 
 3812 0.393 0.670 1.045 1.949 2.556 2.732 
 3813 0.392 0.670 1.046 1.949 2.555 2.732 
