year T_MMCP2.6 T_MMCP4.5 T_MMCP6.0 T_MMCP-break T_MMCP8.5 T_MMCP-feedback 
 1736 277.570 277.570 277.570 277.570 277.570 277.570 
 1737 277.520 277.520 277.520 277.520 277.520 277.520 
 1738 277.460 277.460 277.460 277.460 277.460 277.460 
 1739 277.390 277.390 277.390 277.390 277.390 277.390 
 1740 277.320 277.320 277.320 277.320 277.320 277.320 
 1741 277.250 277.250 277.250 277.250 277.250 277.250 
 1742 277.180 277.180 277.180 277.180 277.180 277.180 
 1743 277.120 277.120 277.120 277.120 277.120 277.120 
 1744 277.060 277.060 277.060 277.060 277.060 277.060 
 1745 277.010 277.010 277.010 277.010 277.010 277.010 
 1746 276.960 276.960 276.960 276.960 276.960 276.960 
 1747 276.910 276.910 276.910 276.910 276.910 276.910 
 1748 276.870 276.870 276.870 276.870 276.870 276.870 
 1749 276.830 276.830 276.830 276.830 276.830 276.830 
 1750 276.800 276.800 276.800 276.800 276.800 276.800 
 1751 276.760 276.760 276.760 276.760 276.760 276.760 
 1752 276.730 276.730 276.730 276.730 276.730 276.730 
 1753 276.700 276.700 276.700 276.700 276.700 276.700 
 1754 276.670 276.670 276.670 276.670 276.670 276.670 
 1755 276.640 276.640 276.640 276.640 276.640 276.640 
 1756 276.610 276.610 276.610 276.610 276.610 276.610 
 1757 276.600 276.600 276.600 276.600 276.600 276.600 
 1758 276.580 276.580 276.580 276.580 276.580 276.580 
 1759 276.570 276.570 276.570 276.570 276.570 276.570 
 1760 276.580 276.580 276.580 276.580 276.580 276.580 
 1761 276.590 276.590 276.590 276.590 276.590 276.590 
 1762 276.600 276.600 276.600 276.600 276.600 276.600 
 1763 276.630 276.630 276.630 276.630 276.630 276.630 
 1764 276.680 276.680 276.680 276.680 276.680 276.680 
 1765 276.730 276.730 276.730 276.730 276.730 276.730 
 1766 276.790 276.790 276.790 276.790 276.790 276.790 
 1767 276.870 276.870 276.870 276.870 276.870 276.870 
 1768 276.950 276.950 276.950 276.950 276.950 276.950 
 1769 277.040 277.040 277.040 277.040 277.040 277.040 
 1770 277.130 277.130 277.130 277.130 277.130 277.130 
 1771 277.240 277.240 277.240 277.240 277.240 277.240 
 1772 277.340 277.340 277.340 277.340 277.340 277.340 
 1773 277.450 277.450 277.450 277.450 277.450 277.450 
 1774 277.570 277.570 277.570 277.570 277.570 277.570 
 1775 277.680 277.680 277.680 277.680 277.680 277.680 
 1776 277.800 277.800 277.800 277.800 277.800 277.800 
 1777 277.920 277.920 277.920 277.920 277.920 277.920 
 1778 278.040 278.040 278.040 278.040 278.040 278.040 
 1779 278.170 278.170 278.170 278.170 278.170 278.170 
 1780 278.310 278.310 278.310 278.310 278.310 278.310 
 1781 278.460 278.460 278.460 278.460 278.460 278.460 
 1782 278.620 278.620 278.620 278.620 278.620 278.620 
 1783 278.800 278.800 278.800 278.800 278.800 278.800 
 1784 279.000 279.000 279.000 279.000 279.000 279.000 
 1785 279.200 279.200 279.200 279.200 279.200 279.200 
 1786 279.410 279.410 279.410 279.410 279.410 279.410 
 1787 279.630 279.630 279.630 279.630 279.630 279.630 
 1788 279.860 279.860 279.860 279.860 279.860 279.860 
 1789 280.090 280.090 280.090 280.090 280.090 280.090 
 1790 280.320 280.320 280.320 280.320 280.320 280.320 
 1791 280.550 280.550 280.550 280.550 280.550 280.550 
 1792 280.790 280.790 280.790 280.790 280.790 280.790 
 1793 281.020 281.020 281.020 281.020 281.020 281.020 
 1794 281.240 281.240 281.240 281.240 281.240 281.240 
 1795 281.460 281.460 281.460 281.460 281.460 281.460 
 1796 281.680 281.680 281.680 281.680 281.680 281.680 
 1797 281.890 281.890 281.890 281.890 281.890 281.890 
 1798 282.080 282.080 282.080 282.080 282.080 282.080 
 1799 282.270 282.270 282.270 282.270 282.270 282.270 
 1800 282.450 282.450 282.450 282.450 282.450 282.450 
