year glaciers_MMCP2.6 glaciers_MMCP4.5 glaciers_MMCP6.0 glaciers_MMCP-break glaciers_MMCP8.5 glaciers_MMCP-feedback 
 2250 0.103 0.113 0.121 0.135 0.138 0.138 
 2251 0.104 0.113 0.121 0.135 0.139 0.139 
 2252 0.104 0.114 0.122 0.135 0.139 0.139 
 2253 0.104 0.114 0.122 0.136 0.139 0.139 
 2254 0.104 0.114 0.122 0.136 0.140 0.140 
 2255 0.105 0.115 0.123 0.137 0.140 0.140 
 2256 0.105 0.115 0.123 0.137 0.141 0.141 
 2257 0.105 0.115 0.123 0.137 0.141 0.141 
 2258 0.106 0.116 0.124 0.138 0.141 0.141 
 2259 0.106 0.116 0.124 0.138 0.142 0.142 
 2260 0.106 0.116 0.124 0.139 0.142 0.142 
 2261 0.106 0.117 0.125 0.139 0.143 0.143 
 2262 0.107 0.117 0.125 0.139 0.143 0.143 
 2263 0.107 0.117 0.125 0.140 0.143 0.143 
 2264 0.107 0.118 0.126 0.140 0.144 0.144 
 2265 0.107 0.118 0.126 0.141 0.144 0.144 
 2266 0.108 0.118 0.126 0.141 0.145 0.145 
 2267 0.108 0.119 0.127 0.141 0.145 0.145 
 2268 0.108 0.119 0.127 0.142 0.145 0.145 
 2269 0.109 0.119 0.127 0.142 0.146 0.146 
 2270 0.109 0.120 0.128 0.143 0.146 0.146 
 2271 0.109 0.120 0.128 0.143 0.147 0.147 
 2272 0.109 0.120 0.129 0.143 0.147 0.147 
 2273 0.110 0.121 0.129 0.144 0.148 0.148 
 2274 0.110 0.121 0.129 0.144 0.148 0.148 
 2275 0.110 0.121 0.130 0.144 0.148 0.148 
 2276 0.111 0.122 0.130 0.145 0.149 0.149 
 2277 0.111 0.122 0.130 0.145 0.149 0.149 
 2278 0.111 0.122 0.131 0.145 0.149 0.149 
 2279 0.111 0.122 0.131 0.146 0.150 0.150 
 2280 0.112 0.123 0.131 0.146 0.150 0.150 
 2281 0.112 0.123 0.132 0.147 0.151 0.151 
 2282 0.112 0.123 0.132 0.147 0.151 0.151 
 2283 0.112 0.124 0.132 0.147 0.151 0.151 
 2284 0.113 0.124 0.133 0.148 0.152 0.152 
 2285 0.113 0.124 0.133 0.148 0.152 0.152 
 2286 0.113 0.125 0.133 0.148 0.152 0.152 
 2287 0.113 0.125 0.134 0.149 0.153 0.153 
 2288 0.114 0.125 0.134 0.149 0.153 0.153 
 2289 0.114 0.126 0.134 0.149 0.153 0.153 
 2290 0.114 0.126 0.135 0.150 0.154 0.154 
 2291 0.115 0.126 0.135 0.150 0.154 0.154 
 2292 0.115 0.126 0.135 0.150 0.154 0.154 
 2293 0.115 0.127 0.136 0.151 0.155 0.155 
 2294 0.115 0.127 0.136 0.151 0.155 0.155 
 2295 0.115 0.127 0.136 0.151 0.156 0.156 
 2296 0.116 0.128 0.137 0.152 0.156 0.156 
 2297 0.116 0.128 0.137 0.152 0.156 0.156 
 2298 0.116 0.128 0.137 0.152 0.157 0.157 
 2299 0.117 0.129 0.138 0.153 0.157 0.157 
 2300 0.117 0.129 0.138 0.153 0.157 0.157 
 2301 0.117 0.129 0.138 0.153 0.158 0.158 
 2302 0.117 0.129 0.139 0.154 0.158 0.158 
 2303 0.118 0.130 0.139 0.154 0.158 0.158 
 2304 0.118 0.130 0.139 0.154 0.159 0.159 
 2305 0.118 0.130 0.140 0.155 0.159 0.159 
 2306 0.118 0.131 0.140 0.155 0.159 0.159 
 2307 0.119 0.131 0.140 0.155 0.160 0.160 
 2308 0.119 0.131 0.140 0.156 0.160 0.160 
 2309 0.119 0.131 0.141 0.156 0.160 0.160 
 2310 0.119 0.132 0.141 0.156 0.161 0.161 
 2311 0.119 0.132 0.141 0.157 0.161 0.161 
 2312 0.120 0.132 0.142 0.157 0.161 0.161 
 2313 0.120 0.133 0.142 0.157 0.162 0.162 
 2314 0.120 0.133 0.142 0.158 0.162 0.162 
 2315 0.120 0.133 0.143 0.158 0.162 0.162 
 2316 0.121 0.133 0.143 0.158 0.163 0.163 
 2317 0.121 0.134 0.143 0.159 0.163 0.163 
 2318 0.121 0.134 0.144 0.159 0.163 0.163 
 2319 0.121 0.134 0.144 0.159 0.164 0.164 
 2320 0.122 0.134 0.144 0.159 0.164 0.164 
 2321 0.122 0.135 0.144 0.160 0.164 0.164 
 2322 0.122 0.135 0.145 0.160 0.165 0.164 
 2323 0.122 0.135 0.145 0.160 0.165 0.165 
 2324 0.123 0.135 0.145 0.161 0.165 0.165 
 2325 0.123 0.136 0.145 0.161 0.165 0.165 
 2326 0.123 0.136 0.146 0.161 0.166 0.166 
 2327 0.123 0.136 0.146 0.162 0.166 0.166 
 2328 0.124 0.136 0.146 0.162 0.166 0.166 
 2329 0.124 0.137 0.147 0.162 0.167 0.167 
 2330 0.124 0.137 0.147 0.163 0.167 0.167 
 2331 0.124 0.137 0.147 0.163 0.167 0.167 
 2332 0.124 0.137 0.148 0.163 0.168 0.168 
 2333 0.125 0.138 0.148 0.163 0.168 0.168 
 2334 0.125 0.138 0.148 0.164 0.168 0.168 
 2335 0.125 0.138 0.148 0.164 0.168 0.168 
 2336 0.125 0.138 0.149 0.164 0.169 0.169 
 2337 0.126 0.139 0.149 0.165 0.169 0.169 
