year glaciers_MMCP2.6 glaciers_MMCP4.5 glaciers_MMCP6.0 glaciers_MMCP-break glaciers_MMCP8.5 glaciers_MMCP-feedback 
 7935 0.236 0.238 0.238 0.240 0.240 0.240 
 7936 0.236 0.238 0.238 0.240 0.240 0.240 
 7937 0.236 0.238 0.238 0.240 0.240 0.240 
 7938 0.236 0.238 0.238 0.240 0.240 0.240 
 7939 0.236 0.238 0.238 0.240 0.240 0.240 
 7940 0.236 0.238 0.238 0.240 0.240 0.240 
 7941 0.236 0.238 0.238 0.240 0.240 0.240 
 7942 0.236 0.238 0.238 0.240 0.240 0.240 
 7943 0.236 0.238 0.238 0.240 0.240 0.240 
 7944 0.236 0.238 0.238 0.240 0.240 0.240 
 7945 0.236 0.238 0.238 0.240 0.240 0.240 
 7946 0.236 0.238 0.238 0.240 0.240 0.240 
 7947 0.236 0.238 0.238 0.240 0.240 0.240 
 7948 0.236 0.238 0.238 0.240 0.240 0.240 
 7949 0.236 0.238 0.238 0.240 0.240 0.240 
 7950 0.236 0.238 0.238 0.240 0.240 0.240 
 7951 0.236 0.238 0.238 0.240 0.240 0.240 
 7952 0.236 0.238 0.238 0.240 0.240 0.240 
 7953 0.236 0.238 0.238 0.240 0.240 0.240 
 7954 0.236 0.238 0.238 0.240 0.240 0.240 
 7955 0.236 0.238 0.238 0.240 0.240 0.240 
 7956 0.236 0.238 0.238 0.240 0.240 0.240 
 7957 0.236 0.238 0.238 0.240 0.240 0.240 
 7958 0.236 0.238 0.239 0.240 0.240 0.240 
 7959 0.236 0.238 0.238 0.240 0.240 0.240 
 7960 0.236 0.238 0.239 0.240 0.240 0.240 
 7961 0.236 0.238 0.238 0.240 0.240 0.240 
 7962 0.236 0.238 0.238 0.240 0.240 0.240 
 7963 0.236 0.238 0.238 0.240 0.240 0.240 
 7964 0.236 0.238 0.238 0.240 0.240 0.240 
 7965 0.236 0.238 0.238 0.240 0.240 0.240 
 7966 0.236 0.238 0.238 0.240 0.240 0.240 
 7967 0.236 0.238 0.238 0.240 0.240 0.240 
 7968 0.236 0.238 0.238 0.240 0.240 0.240 
 7969 0.236 0.238 0.238 0.240 0.240 0.240 
 7970 0.236 0.238 0.238 0.240 0.240 0.240 
 7971 0.236 0.238 0.238 0.240 0.240 0.240 
 7972 0.236 0.238 0.238 0.240 0.240 0.240 
 7973 0.236 0.238 0.238 0.240 0.240 0.240 
 7974 0.236 0.238 0.238 0.240 0.240 0.240 
 7975 0.236 0.238 0.238 0.240 0.240 0.240 
 7976 0.236 0.238 0.238 0.240 0.240 0.240 
 7977 0.236 0.238 0.238 0.240 0.240 0.240 
 7978 0.236 0.238 0.238 0.240 0.240 0.240 
 7979 0.236 0.238 0.238 0.240 0.240 0.240 
 7980 0.236 0.238 0.238 0.240 0.240 0.240 
 7981 0.236 0.238 0.238 0.240 0.240 0.240 
 7982 0.236 0.238 0.238 0.240 0.240 0.240 
 7983 0.236 0.238 0.238 0.240 0.240 0.240 
 7984 0.236 0.238 0.238 0.240 0.240 0.240 
 7985 0.236 0.238 0.238 0.240 0.240 0.240 
 7986 0.236 0.238 0.238 0.240 0.240 0.240 
 7987 0.236 0.238 0.238 0.240 0.240 0.240 
 7988 0.236 0.238 0.238 0.240 0.240 0.240 
 7989 0.236 0.238 0.238 0.240 0.240 0.240 
 7990 0.236 0.238 0.238 0.240 0.240 0.240 
 7991 0.236 0.238 0.238 0.240 0.240 0.240 
 7992 0.236 0.238 0.238 0.240 0.240 0.240 
 7993 0.236 0.238 0.238 0.240 0.240 0.240 
 7994 0.236 0.238 0.238 0.240 0.240 0.240 
 7995 0.236 0.238 0.238 0.240 0.240 0.240 
 7996 0.236 0.238 0.238 0.240 0.240 0.240 
 7997 0.236 0.238 0.238 0.240 0.240 0.240 
 7998 0.236 0.238 0.238 0.240 0.240 0.240 
 7999 0.236 0.238 0.238 0.240 0.240 0.240 
 8000 0.236 0.238 0.238 0.240 0.240 0.240 
 8001 0.236 0.238 0.238 0.240 0.240 0.240 
 8002 0.236 0.238 0.238 0.240 0.240 0.240 
 8003 0.236 0.238 0.238 0.240 0.240 0.240 
 8004 0.236 0.238 0.238 0.240 0.240 0.240 
 8005 0.236 0.238 0.238 0.240 0.240 0.240 
 8006 0.236 0.238 0.238 0.240 0.240 0.240 
 8007 0.236 0.238 0.238 0.240 0.240 0.240 
 8008 0.236 0.238 0.238 0.240 0.240 0.240 
 8009 0.236 0.238 0.238 0.240 0.240 0.240 
 8010 0.236 0.238 0.238 0.240 0.240 0.240 
 8011 0.236 0.238 0.238 0.240 0.240 0.240 
 8012 0.236 0.238 0.238 0.240 0.240 0.240 
 8013 0.236 0.238 0.238 0.240 0.240 0.240 
 8014 0.236 0.238 0.238 0.240 0.240 0.240 
 8015 0.236 0.238 0.238 0.240 0.240 0.240 
 8016 0.236 0.238 0.238 0.240 0.240 0.240 
 8017 0.236 0.238 0.238 0.240 0.240 0.240 
 8018 0.236 0.238 0.238 0.240 0.240 0.240 
 8019 0.236 0.238 0.238 0.240 0.240 0.240 
 8020 0.236 0.238 0.238 0.240 0.240 0.240 
 8021 0.236 0.238 0.238 0.240 0.240 0.240 
 8022 0.236 0.238 0.238 0.240 0.240 0.240 
 8023 0.236 0.238 0.238 0.240 0.240 0.240 
 8024 0.236 0.238 0.238 0.240 0.240 0.240 
 8025 0.236 0.238 0.238 0.240 0.240 0.240 
 8026 0.236 0.238 0.238 0.240 0.240 0.240 
 8027 0.236 0.238 0.238 0.240 0.240 0.240 
 8028 0.236 0.238 0.238 0.240 0.240 0.240 
 8029 0.236 0.238 0.238 0.240 0.240 0.240 
 8030 0.236 0.238 0.238 0.240 0.240 0.240 
 8031 0.236 0.238 0.238 0.240 0.240 0.240 
 8032 0.236 0.238 0.238 0.240 0.240 0.240 
 8033 0.236 0.238 0.238 0.240 0.240 0.240 
 8034 0.236 0.238 0.238 0.240 0.240 0.240 
 8035 0.236 0.238 0.238 0.240 0.240 0.240 
 8036 0.236 0.238 0.238 0.240 0.240 0.240 
 8037 0.236 0.238 0.238 0.240 0.240 0.240 
 8038 0.236 0.238 0.238 0.240 0.240 0.240 
 8039 0.236 0.238 0.238 0.240 0.240 0.240 
 8040 0.236 0.238 0.238 0.240 0.240 0.240 
 8041 0.236 0.238 0.238 0.240 0.240 0.240 
 8042 0.236 0.238 0.239 0.240 0.240 0.240 
 8043 0.236 0.238 0.239 0.240 0.240 0.240 
 8044 0.236 0.238 0.238 0.240 0.240 0.240 
 8045 0.236 0.238 0.239 0.240 0.240 0.240 
 8046 0.236 0.238 0.239 0.240 0.240 0.240 
 8047 0.236 0.238 0.239 0.240 0.240 0.240 
 8048 0.236 0.238 0.239 0.240 0.240 0.240 
 8049 0.236 0.238 0.239 0.240 0.240 0.240 
 8050 0.236 0.238 0.239 0.240 0.240 0.240 
 8051 0.236 0.238 0.239 0.240 0.240 0.240 
 8052 0.236 0.238 0.239 0.240 0.240 0.240 
 8053 0.236 0.238 0.239 0.240 0.240 0.240 
 8054 0.236 0.238 0.239 0.240 0.240 0.240 
 8055 0.236 0.238 0.239 0.240 0.240 0.240 
 8056 0.236 0.238 0.239 0.240 0.240 0.240 
 8057 0.236 0.238 0.239 0.240 0.240 0.240 
 8058 0.236 0.238 0.239 0.240 0.240 0.240 
 8059 0.236 0.238 0.239 0.240 0.240 0.240 
 8060 0.236 0.238 0.239 0.240 0.240 0.240 
 8061 0.236 0.238 0.239 0.240 0.240 0.240 
 8062 0.236 0.238 0.239 0.240 0.240 0.240 
 8063 0.236 0.238 0.239 0.240 0.240 0.240 
 8064 0.236 0.238 0.239 0.240 0.240 0.240 
 8065 0.236 0.238 0.239 0.240 0.240 0.240 
 8066 0.236 0.238 0.239 0.240 0.240 0.240 
 8067 0.236 0.238 0.239 0.240 0.240 0.240 
 8068 0.236 0.238 0.239 0.240 0.240 0.240 
 8069 0.236 0.238 0.239 0.240 0.240 0.240 
 8070 0.236 0.238 0.239 0.240 0.240 0.240 
 8071 0.236 0.238 0.239 0.240 0.240 0.240 
 8072 0.236 0.238 0.239 0.240 0.240 0.240 
 8073 0.236 0.238 0.239 0.240 0.240 0.240 
 8074 0.236 0.238 0.239 0.240 0.240 0.240 
 8075 0.236 0.238 0.239 0.240 0.240 0.240 
 8076 0.236 0.238 0.239 0.240 0.240 0.240 
 8077 0.236 0.238 0.239 0.240 0.240 0.240 
 8078 0.236 0.238 0.239 0.240 0.240 0.240 
 8079 0.236 0.238 0.239 0.240 0.240 0.240 
 8080 0.236 0.238 0.239 0.240 0.240 0.240 
 8081 0.236 0.238 0.239 0.240 0.240 0.240 
 8082 0.236 0.238 0.239 0.240 0.240 0.240 
 8083 0.236 0.238 0.239 0.240 0.240 0.240 
 8084 0.236 0.238 0.239 0.240 0.240 0.240 
 8085 0.236 0.238 0.239 0.240 0.240 0.240 
 8086 0.236 0.238 0.239 0.240 0.240 0.240 
 8087 0.236 0.238 0.239 0.240 0.240 0.240 
 8088 0.236 0.238 0.239 0.240 0.240 0.240 
 8089 0.236 0.238 0.239 0.240 0.240 0.240 
 8090 0.236 0.238 0.239 0.240 0.240 0.240 
 8091 0.236 0.238 0.239 0.240 0.240 0.240 
 8092 0.236 0.238 0.239 0.240 0.240 0.240 
 8093 0.236 0.238 0.239 0.240 0.240 0.240 
 8094 0.236 0.238 0.239 0.240 0.240 0.240 
 8095 0.236 0.238 0.239 0.240 0.240 0.240 
 8096 0.236 0.238 0.239 0.240 0.240 0.240 
 8097 0.236 0.238 0.239 0.240 0.240 0.240 
 8098 0.236 0.238 0.239 0.240 0.240 0.240 
 8099 0.236 0.238 0.239 0.240 0.240 0.240 
 8100 0.236 0.238 0.239 0.240 0.240 0.240 
 8101 0.236 0.238 0.239 0.240 0.240 0.240 
 8102 0.236 0.238 0.239 0.240 0.240 0.240 
 8103 0.236 0.238 0.239 0.240 0.240 0.240 
 8104 0.236 0.238 0.239 0.240 0.240 0.240 
 8105 0.236 0.238 0.239 0.240 0.240 0.240 
 8106 0.236 0.238 0.239 0.240 0.240 0.240 
 8107 0.236 0.238 0.239 0.240 0.240 0.240 
 8108 0.236 0.238 0.239 0.240 0.240 0.240 
 8109 0.236 0.238 0.239 0.240 0.240 0.240 
 8110 0.236 0.238 0.239 0.240 0.240 0.240 
 8111 0.236 0.238 0.239 0.240 0.240 0.240 
 8112 0.236 0.238 0.239 0.240 0.240 0.240 
 8113 0.236 0.238 0.239 0.240 0.240 0.240 
 8114 0.236 0.238 0.239 0.240 0.240 0.240 
 8115 0.236 0.238 0.239 0.240 0.240 0.240 
 8116 0.236 0.238 0.239 0.240 0.240 0.240 
 8117 0.236 0.238 0.239 0.240 0.240 0.240 
 8118 0.236 0.238 0.239 0.240 0.240 0.240 
 8119 0.236 0.238 0.239 0.240 0.240 0.240 
 8120 0.236 0.238 0.239 0.240 0.240 0.240 
 8121 0.236 0.238 0.239 0.240 0.240 0.240 
 8122 0.236 0.238 0.239 0.240 0.240 0.240 
 8123 0.236 0.238 0.239 0.240 0.240 0.240 
 8124 0.236 0.238 0.239 0.240 0.240 0.240 
 8125 0.236 0.238 0.238 0.240 0.240 0.240 
 8126 0.236 0.238 0.239 0.240 0.240 0.240 
 8127 0.236 0.238 0.239 0.240 0.240 0.240 
 8128 0.236 0.238 0.239 0.240 0.240 0.240 
 8129 0.236 0.238 0.239 0.240 0.240 0.240 
 8130 0.236 0.238 0.239 0.240 0.240 0.240 
 8131 0.236 0.238 0.239 0.240 0.240 0.240 
 8132 0.236 0.238 0.239 0.240 0.240 0.240 
 8133 0.236 0.238 0.239 0.240 0.240 0.240 
 8134 0.236 0.238 0.239 0.240 0.240 0.240 
 8135 0.236 0.238 0.239 0.240 0.240 0.240 
 8136 0.236 0.238 0.239 0.240 0.240 0.240 
 8137 0.236 0.238 0.239 0.240 0.240 0.240 
 8138 0.236 0.238 0.239 0.240 0.240 0.240 
 8139 0.236 0.238 0.239 0.240 0.240 0.240 
 8140 0.236 0.238 0.239 0.240 0.240 0.240 
 8141 0.236 0.238 0.239 0.240 0.240 0.240 
 8142 0.236 0.238 0.239 0.240 0.240 0.240 
 8143 0.236 0.238 0.239 0.240 0.240 0.240 
 8144 0.236 0.238 0.239 0.240 0.240 0.240 
 8145 0.236 0.238 0.239 0.240 0.240 0.240 
 8146 0.236 0.238 0.239 0.240 0.240 0.240 
 8147 0.236 0.238 0.239 0.240 0.240 0.240 
 8148 0.236 0.238 0.239 0.240 0.240 0.240 
 8149 0.236 0.238 0.239 0.240 0.240 0.240 
 8150 0.236 0.238 0.239 0.240 0.240 0.240 
 8151 0.236 0.238 0.239 0.240 0.240 0.240 
 8152 0.236 0.238 0.239 0.240 0.240 0.240 
 8153 0.236 0.238 0.239 0.240 0.240 0.240 
 8154 0.236 0.238 0.239 0.240 0.240 0.240 
 8155 0.236 0.238 0.239 0.240 0.240 0.240 
 8156 0.236 0.238 0.239 0.240 0.240 0.240 
 8157 0.236 0.238 0.239 0.240 0.240 0.240 
 8158 0.236 0.238 0.239 0.240 0.240 0.240 
 8159 0.236 0.238 0.239 0.240 0.240 0.240 
 8160 0.236 0.238 0.239 0.240 0.240 0.240 
 8161 0.236 0.238 0.239 0.240 0.240 0.240 
 8162 0.236 0.238 0.239 0.240 0.240 0.240 
 8163 0.236 0.238 0.239 0.240 0.240 0.240 
 8164 0.236 0.238 0.239 0.240 0.240 0.240 
 8165 0.236 0.238 0.239 0.240 0.240 0.240 
 8166 0.236 0.238 0.239 0.240 0.240 0.240 
 8167 0.236 0.238 0.239 0.240 0.240 0.240 
 8168 0.236 0.238 0.239 0.240 0.240 0.240 
 8169 0.236 0.238 0.239 0.240 0.240 0.240 
 8170 0.236 0.238 0.239 0.240 0.240 0.240 
 8171 0.236 0.238 0.239 0.240 0.240 0.240 
 8172 0.236 0.238 0.239 0.240 0.240 0.240 
 8173 0.236 0.238 0.239 0.240 0.240 0.240 
 8174 0.236 0.238 0.239 0.240 0.240 0.240 
 8175 0.236 0.238 0.239 0.240 0.240 0.240 
 8176 0.236 0.238 0.239 0.240 0.240 0.240 
 8177 0.236 0.238 0.239 0.240 0.240 0.240 
 8178 0.236 0.238 0.239 0.240 0.240 0.240 
 8179 0.236 0.238 0.239 0.240 0.240 0.240 
 8180 0.236 0.238 0.239 0.240 0.240 0.240 
 8181 0.236 0.238 0.239 0.240 0.240 0.240 
 8182 0.236 0.238 0.239 0.240 0.240 0.240 
 8183 0.236 0.238 0.239 0.240 0.240 0.240 
 8184 0.236 0.238 0.239 0.240 0.240 0.240 
 8185 0.236 0.238 0.239 0.240 0.240 0.240 
 8186 0.236 0.238 0.239 0.240 0.240 0.240 
 8187 0.236 0.238 0.239 0.240 0.240 0.240 
 8188 0.236 0.238 0.239 0.240 0.240 0.240 
 8189 0.236 0.238 0.239 0.240 0.240 0.240 
 8190 0.236 0.238 0.239 0.240 0.240 0.240 
 8191 0.236 0.238 0.239 0.240 0.240 0.240 
 8192 0.236 0.238 0.239 0.240 0.240 0.240 
 8193 0.236 0.238 0.239 0.240 0.240 0.240 
 8194 0.236 0.238 0.239 0.240 0.240 0.240 
 8195 0.236 0.238 0.239 0.240 0.240 0.240 
 8196 0.236 0.238 0.239 0.240 0.240 0.240 
 8197 0.236 0.238 0.239 0.240 0.240 0.240 
 8198 0.236 0.238 0.239 0.240 0.240 0.240 
 8199 0.236 0.238 0.239 0.240 0.240 0.240 
 8200 0.236 0.238 0.239 0.240 0.240 0.240 
 8201 0.236 0.238 0.239 0.240 0.240 0.240 
 8202 0.236 0.238 0.239 0.240 0.240 0.240 
 8203 0.236 0.238 0.239 0.240 0.240 0.240 
 8204 0.236 0.238 0.239 0.240 0.240 0.240 
 8205 0.236 0.238 0.239 0.240 0.240 0.240 
 8206 0.236 0.238 0.239 0.240 0.240 0.240 
 8207 0.236 0.238 0.239 0.240 0.240 0.240 
 8208 0.236 0.238 0.239 0.240 0.240 0.240 
 8209 0.236 0.238 0.239 0.240 0.240 0.240 
 8210 0.236 0.238 0.239 0.240 0.240 0.240 
 8211 0.236 0.238 0.239 0.240 0.240 0.240 
 8212 0.236 0.238 0.239 0.240 0.240 0.240 
 8213 0.236 0.238 0.239 0.240 0.240 0.240 
 8214 0.236 0.238 0.239 0.240 0.240 0.240 
 8215 0.236 0.238 0.239 0.240 0.240 0.240 
 8216 0.236 0.238 0.239 0.240 0.240 0.240 
 8217 0.236 0.238 0.239 0.240 0.240 0.240 
 8218 0.236 0.238 0.239 0.240 0.240 0.240 
 8219 0.236 0.238 0.239 0.240 0.240 0.240 
 8220 0.236 0.238 0.239 0.240 0.240 0.240 
 8221 0.236 0.238 0.239 0.240 0.240 0.240 
 8222 0.236 0.238 0.239 0.240 0.240 0.240 
 8223 0.236 0.238 0.238 0.240 0.240 0.240 
 8224 0.236 0.238 0.238 0.240 0.240 0.240 
 8225 0.236 0.238 0.238 0.240 0.240 0.240 
 8226 0.236 0.238 0.238 0.240 0.240 0.240 
 8227 0.236 0.238 0.238 0.240 0.240 0.240 
 8228 0.236 0.238 0.238 0.240 0.240 0.240 
 8229 0.236 0.238 0.238 0.240 0.240 0.240 
 8230 0.236 0.238 0.238 0.240 0.240 0.240 
 8231 0.236 0.238 0.238 0.240 0.240 0.240 
 8232 0.236 0.238 0.238 0.240 0.240 0.240 
 8233 0.236 0.238 0.238 0.240 0.240 0.240 
 8234 0.236 0.238 0.238 0.240 0.240 0.240 
 8235 0.236 0.238 0.238 0.240 0.240 0.240 
 8236 0.236 0.238 0.238 0.240 0.240 0.240 
 8237 0.236 0.238 0.238 0.240 0.240 0.240 
 8238 0.236 0.238 0.238 0.240 0.240 0.240 
 8239 0.236 0.238 0.238 0.240 0.240 0.240 
 8240 0.236 0.238 0.238 0.240 0.240 0.240 
 8241 0.236 0.238 0.238 0.240 0.240 0.240 
 8242 0.236 0.238 0.238 0.240 0.240 0.240 
 8243 0.236 0.238 0.238 0.240 0.240 0.240 
 8244 0.236 0.238 0.238 0.240 0.240 0.240 
 8245 0.236 0.238 0.238 0.240 0.240 0.240 
 8246 0.236 0.238 0.239 0.240 0.240 0.240 
 8247 0.236 0.238 0.238 0.240 0.240 0.240 
 8248 0.236 0.238 0.238 0.240 0.240 0.240 
 8249 0.236 0.238 0.238 0.240 0.240 0.240 
 8250 0.236 0.238 0.238 0.240 0.240 0.240 
 8251 0.236 0.238 0.238 0.240 0.240 0.240 
 8252 0.236 0.238 0.239 0.240 0.240 0.240 
 8253 0.236 0.238 0.239 0.240 0.240 0.240 
 8254 0.236 0.238 0.239 0.240 0.240 0.240 
 8255 0.236 0.238 0.238 0.240 0.240 0.240 
 8256 0.236 0.238 0.239 0.240 0.240 0.240 
 8257 0.236 0.238 0.239 0.240 0.240 0.240 
 8258 0.236 0.238 0.239 0.240 0.240 0.240 
 8259 0.236 0.238 0.239 0.240 0.240 0.240 
 8260 0.236 0.238 0.239 0.240 0.240 0.240 
 8261 0.236 0.238 0.239 0.240 0.240 0.240 
 8262 0.236 0.238 0.239 0.240 0.240 0.240 
 8263 0.236 0.238 0.238 0.240 0.240 0.240 
 8264 0.236 0.238 0.238 0.240 0.240 0.240 
 8265 0.236 0.238 0.238 0.240 0.240 0.240 
 8266 0.236 0.238 0.238 0.240 0.240 0.240 
 8267 0.236 0.238 0.238 0.240 0.240 0.240 
 8268 0.236 0.238 0.238 0.240 0.240 0.240 
 8269 0.236 0.238 0.238 0.240 0.240 0.240 
 8270 0.236 0.238 0.238 0.240 0.240 0.240 
 8271 0.236 0.238 0.238 0.240 0.240 0.240 
 8272 0.236 0.238 0.238 0.240 0.240 0.240 
 8273 0.236 0.238 0.238 0.240 0.240 0.240 
 8274 0.236 0.238 0.238 0.240 0.240 0.240 
 8275 0.236 0.238 0.238 0.240 0.240 0.240 
 8276 0.236 0.238 0.238 0.240 0.240 0.240 
 8277 0.236 0.238 0.238 0.240 0.240 0.240 
 8278 0.236 0.238 0.238 0.240 0.240 0.240 
 8279 0.236 0.238 0.238 0.240 0.240 0.240 
 8280 0.236 0.238 0.238 0.240 0.240 0.240 
 8281 0.236 0.238 0.238 0.240 0.240 0.240 
 8282 0.236 0.238 0.238 0.240 0.240 0.240 
 8283 0.236 0.238 0.238 0.240 0.240 0.240 
 8284 0.236 0.238 0.238 0.240 0.240 0.240 
 8285 0.236 0.238 0.238 0.240 0.240 0.240 
 8286 0.236 0.238 0.238 0.240 0.240 0.240 
 8287 0.236 0.238 0.239 0.240 0.240 0.240 
 8288 0.236 0.238 0.239 0.240 0.240 0.240 
 8289 0.236 0.238 0.239 0.240 0.240 0.240 
 8290 0.236 0.238 0.239 0.240 0.240 0.240 
 8291 0.236 0.238 0.239 0.240 0.240 0.240 
 8292 0.236 0.238 0.239 0.240 0.240 0.240 
 8293 0.236 0.238 0.239 0.240 0.240 0.240 
 8294 0.236 0.238 0.239 0.240 0.240 0.240 
 8295 0.236 0.238 0.239 0.240 0.240 0.240 
 8296 0.236 0.238 0.239 0.240 0.240 0.240 
 8297 0.236 0.238 0.239 0.240 0.240 0.240 
 8298 0.236 0.238 0.239 0.240 0.240 0.240 
 8299 0.236 0.238 0.239 0.240 0.240 0.240 
 8300 0.236 0.238 0.239 0.240 0.240 0.240 
 8301 0.236 0.238 0.239 0.240 0.240 0.240 
 8302 0.236 0.238 0.238 0.240 0.240 0.240 
 8303 0.236 0.238 0.239 0.240 0.240 0.240 
 8304 0.236 0.238 0.238 0.240 0.240 0.240 
 8305 0.236 0.238 0.238 0.240 0.240 0.240 
 8306 0.236 0.238 0.238 0.240 0.240 0.240 
 8307 0.236 0.238 0.238 0.240 0.240 0.240 
 8308 0.236 0.238 0.238 0.240 0.240 0.240 
 8309 0.236 0.238 0.238 0.240 0.240 0.240 
 8310 0.236 0.238 0.238 0.240 0.240 0.240 
 8311 0.236 0.238 0.238 0.240 0.240 0.240 
 8312 0.236 0.238 0.238 0.240 0.240 0.240 
 8313 0.236 0.238 0.238 0.240 0.240 0.240 
 8314 0.236 0.238 0.238 0.240 0.240 0.240 
 8315 0.236 0.238 0.238 0.240 0.240 0.240 
 8316 0.236 0.238 0.238 0.240 0.240 0.240 
 8317 0.236 0.238 0.238 0.240 0.240 0.240 
 8318 0.236 0.238 0.238 0.240 0.240 0.240 
 8319 0.236 0.238 0.238 0.240 0.240 0.240 
 8320 0.236 0.238 0.238 0.240 0.240 0.240 
 8321 0.236 0.238 0.238 0.240 0.240 0.240 
 8322 0.236 0.238 0.238 0.240 0.240 0.240 
 8323 0.236 0.238 0.239 0.240 0.240 0.240 
 8324 0.236 0.238 0.239 0.240 0.240 0.240 
 8325 0.236 0.238 0.239 0.240 0.240 0.240 
 8326 0.236 0.238 0.239 0.240 0.240 0.240 
 8327 0.236 0.238 0.239 0.240 0.240 0.240 
 8328 0.236 0.238 0.239 0.240 0.240 0.240 
 8329 0.236 0.238 0.239 0.240 0.240 0.240 
 8330 0.236 0.238 0.239 0.240 0.240 0.240 
 8331 0.236 0.238 0.239 0.240 0.240 0.240 
 8332 0.236 0.238 0.239 0.240 0.240 0.240 
 8333 0.236 0.238 0.239 0.240 0.240 0.240 
 8334 0.236 0.238 0.238 0.240 0.240 0.240 
 8335 0.236 0.238 0.238 0.240 0.240 0.240 
 8336 0.236 0.238 0.238 0.240 0.240 0.240 
 8337 0.236 0.238 0.238 0.240 0.240 0.240 
 8338 0.236 0.238 0.238 0.240 0.240 0.240 
 8339 0.236 0.238 0.238 0.240 0.240 0.240 
 8340 0.236 0.238 0.238 0.240 0.240 0.240 
 8341 0.236 0.238 0.238 0.240 0.240 0.240 
 8342 0.236 0.238 0.238 0.240 0.240 0.240 
 8343 0.236 0.238 0.238 0.240 0.240 0.240 
 8344 0.236 0.238 0.238 0.240 0.240 0.240 
 8345 0.236 0.238 0.238 0.240 0.240 0.240 
 8346 0.236 0.238 0.238 0.240 0.240 0.240 
 8347 0.236 0.238 0.238 0.240 0.240 0.240 
 8348 0.236 0.238 0.238 0.240 0.240 0.240 
 8349 0.236 0.238 0.238 0.240 0.240 0.240 
 8350 0.236 0.238 0.238 0.240 0.240 0.240 
 8351 0.236 0.238 0.238 0.240 0.240 0.240 
 8352 0.236 0.238 0.238 0.240 0.240 0.240 
 8353 0.236 0.238 0.238 0.240 0.240 0.240 
 8354 0.236 0.238 0.238 0.240 0.240 0.240 
 8355 0.236 0.238 0.238 0.240 0.240 0.240 
 8356 0.236 0.238 0.238 0.240 0.240 0.240 
 8357 0.236 0.238 0.238 0.240 0.240 0.240 
 8358 0.236 0.238 0.238 0.240 0.240 0.240 
 8359 0.236 0.238 0.238 0.240 0.240 0.240 
 8360 0.236 0.238 0.238 0.240 0.240 0.240 
 8361 0.236 0.238 0.238 0.240 0.240 0.240 
 8362 0.236 0.238 0.238 0.240 0.240 0.240 
 8363 0.236 0.238 0.238 0.240 0.240 0.240 
 8364 0.236 0.238 0.238 0.240 0.240 0.240 
 8365 0.236 0.238 0.238 0.240 0.240 0.240 
 8366 0.236 0.238 0.238 0.240 0.240 0.240 
 8367 0.236 0.238 0.238 0.240 0.240 0.240 
 8368 0.236 0.238 0.238 0.240 0.240 0.240 
 8369 0.236 0.238 0.238 0.240 0.240 0.240 
 8370 0.236 0.238 0.238 0.240 0.240 0.240 
 8371 0.236 0.238 0.238 0.240 0.240 0.240 
 8372 0.236 0.238 0.238 0.240 0.240 0.240 
 8373 0.236 0.238 0.238 0.240 0.240 0.240 
 8374 0.236 0.238 0.238 0.240 0.240 0.240 
 8375 0.236 0.238 0.238 0.240 0.240 0.240 
 8376 0.236 0.238 0.238 0.240 0.240 0.240 
 8377 0.236 0.238 0.238 0.240 0.240 0.240 
 8378 0.236 0.238 0.238 0.240 0.240 0.240 
 8379 0.236 0.238 0.238 0.240 0.240 0.240 
 8380 0.236 0.238 0.238 0.240 0.240 0.240 
 8381 0.236 0.238 0.238 0.240 0.240 0.240 
 8382 0.236 0.238 0.238 0.240 0.240 0.240 
 8383 0.236 0.238 0.238 0.240 0.240 0.240 
 8384 0.236 0.238 0.238 0.240 0.240 0.240 
 8385 0.236 0.238 0.239 0.240 0.240 0.240 
 8386 0.236 0.238 0.239 0.240 0.240 0.240 
 8387 0.236 0.238 0.239 0.240 0.240 0.240 
 8388 0.236 0.238 0.239 0.240 0.240 0.240 
 8389 0.236 0.238 0.239 0.240 0.240 0.240 
 8390 0.236 0.238 0.239 0.240 0.240 0.240 
 8391 0.236 0.238 0.239 0.240 0.240 0.240 
 8392 0.236 0.238 0.239 0.240 0.240 0.240 
 8393 0.236 0.238 0.239 0.240 0.240 0.240 
 8394 0.236 0.238 0.238 0.240 0.240 0.240 
 8395 0.236 0.238 0.238 0.240 0.240 0.240 
 8396 0.236 0.238 0.238 0.240 0.240 0.240 
 8397 0.236 0.238 0.238 0.240 0.240 0.240 
 8398 0.236 0.238 0.238 0.240 0.240 0.240 
 8399 0.236 0.238 0.238 0.240 0.240 0.240 
 8400 0.236 0.238 0.238 0.240 0.240 0.240 
 8401 0.236 0.238 0.239 0.240 0.240 0.240 
 8402 0.236 0.238 0.239 0.240 0.240 0.240 
 8403 0.236 0.238 0.238 0.240 0.240 0.240 
 8404 0.236 0.238 0.238 0.240 0.240 0.240 
 8405 0.236 0.238 0.239 0.240 0.240 0.240 
 8406 0.236 0.238 0.239 0.240 0.240 0.240 
 8407 0.236 0.238 0.239 0.240 0.240 0.240 
 8408 0.236 0.238 0.239 0.240 0.240 0.240 
 8409 0.236 0.238 0.239 0.240 0.240 0.240 
 8410 0.236 0.238 0.238 0.240 0.240 0.240 
 8411 0.236 0.238 0.238 0.240 0.240 0.240 
 8412 0.236 0.238 0.238 0.240 0.240 0.240 
 8413 0.236 0.238 0.238 0.240 0.240 0.240 
 8414 0.236 0.238 0.238 0.240 0.240 0.240 
