station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
HELSINKI                           	24.956200	60.153600	0.237000	       -0.050000	        0.060000	        0.240000	        0.480000	        0.680000	        0.653278	        1.730464	        8.868232	       69.535516	      216.536874
Heysham                            	-2.920420	54.031670	0.505000	        0.230000	        0.330000	        0.510000	        0.760000	        0.960000	        7.097200	       12.323991	       35.785283	      120.852238	      240.750969
Hillarys                           	115.738300	-31.825000	0.581000	        0.360000	        0.430000	        0.580000	        0.800000	        1.010000	       94.449203	      174.246453	      589.053083	     6548.885043	    18262.500000
Hilo, Hawaii                       	-155.066700	19.733300	0.771000	        0.510000	        0.600000	        0.770000	        1.030000	        1.280000	    18262.500000	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Hinkley Point                      	-3.134330	51.215250	0.544000	        0.270000	        0.370000	        0.540000	        0.800000	        1.000000	      115.459381	      182.600519	      348.921508	      660.351872	      992.242931
Hiron Point                        	89.466700	21.783300	0.632000	        0.290000	        0.420000	        0.630000	        0.910000	        1.110000	       17.217850	       48.298088	      310.264087	     2081.272836	     6404.772990
Hobart                             	147.333333	-42.883333	0.528000	        0.300000	        0.380000	        0.530000	        0.740000	        0.920000	       26.925120	       74.326832	      425.041747	     4305.874145	    18262.500000
Hoek van Holland                   	4.120000	51.977500	0.651000	        0.350000	        0.460000	        0.650000	        0.910000	        1.120000	        4.746724	        7.986181	       22.977309	       86.159584	      206.718028
Holyhead                           	-4.631160	53.307770	0.541000	        0.280000	        0.370000	        0.540000	        0.790000	        1.000000	       63.568825	      118.109843	      336.670670	     1062.614639	     2551.059662
Hong Kong-A                        	114.200000	22.300000	0.491000	        0.200000	        0.310000	        0.490000	        0.740000	        0.960000	        5.800031	       14.091046	       88.505005	      782.681692	     3315.671832
Hong Kong-B                        	114.216700	22.300000	0.557000	        0.260000	        0.370000	        0.560000	        0.810000	        1.030000	        5.738194	       12.445442	       68.725658	      666.303788	     2786.489647
Honiara, Solomon Islands           	159.956700	-9.425000	0.550000	        0.250000	        0.360000	        0.550000	        0.820000	        1.050000	     3688.225165	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Honiara-A                          	159.956700	-9.425000	0.550000	        0.250000	        0.360000	        0.550000	        0.820000	        1.050000	     3364.126747	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Honningsvaag                       	25.972800	70.980300	0.435000	        0.100000	        0.220000	        0.440000	        0.710000	        0.920000	        4.853118	       17.150712	      132.179926	      981.835578	     3762.262152
Honolulu-B,Hawaii                  	-157.866700	21.306700	0.663000	        0.390000	        0.490000	        0.660000	        0.930000	        1.180000	    18262.500000	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Honululu, Hawaii, USA              	-157.866700	21.306700	0.663000	        0.390000	        0.490000	        0.660000	        0.930000	        1.180000	    18262.500000	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Hornbaek                           	12.466666	56.099998	0.567000	       -0.100000	        0.170000	        0.570000	        1.000000	        1.320000	        0.262351	        6.623960	      108.684915	     1339.825903	     8349.881020
Hosojima                           	131.683300	32.416700	0.485000	        0.230000	        0.320000	        0.480000	        0.730000	        0.950000	        2.788086	        5.027135	       23.646917	      351.597861	     2976.381230
Humboldt Bay, CA                   	-124.216700	40.766700	0.767000	        0.530000	        0.610000	        0.770000	        1.010000	        1.240000	      406.359535	     1217.910676	     6390.037437	    18262.500000	    18262.500000
Ilfracombe                         	-4.110940	51.210970	0.556000	        0.280000	        0.380000	        0.560000	        0.810000	        1.020000	       67.620023	      117.121562	      272.566437	      638.955125	     1035.752082
Ilha Fiscal,RJ                     	-43.165000	-22.896700	0.566000	        0.340000	        0.420000	        0.570000	        0.780000	        0.980000	       36.261487	       87.889488	      540.964186	     5343.845868	    18262.500000
Immingham                          	-0.186030	53.631030	0.583000	        0.260000	        0.380000	        0.580000	        0.860000	        1.070000	        6.773184	       13.099973	       45.720089	      200.663651	      470.592289
Ishigaki, Japan                    	124.150000	24.333300	0.639000	        0.310000	        0.430000	        0.640000	        0.910000	        1.140000	       16.551440	       61.089349	      699.122751	    15500.305763	    18262.500000
Ishigaki                           	124.150000	24.333300	0.639000	        0.310000	        0.430000	        0.640000	        0.910000	        1.140000	       28.890515	       89.043791	      800.693310	    16938.275124	    18262.500000
ISHIGAKI                           	124.166700	24.333300	0.639000	        0.310000	        0.430000	        0.640000	        0.910000	        1.140000	       12.755539	       36.207818	      320.898653	     6391.919286	    18262.500000
Johnston                           	-169.530000	16.738300	0.617000	        0.330000	        0.440000	        0.620000	        0.880000	        1.130000	       35.610292	      134.548456	     3060.093026	    18262.500000	    18262.500000
Johnston Island, USA               	-169.530000	16.738300	0.617000	        0.330000	        0.440000	        0.620000	        0.880000	        1.130000	       33.752284	      125.814067	     2646.360005	    18262.500000	    18262.500000
Johor Baharu                       	103.791700	1.461700	0.545000	        0.230000	        0.350000	        0.540000	        0.810000	        1.040000	      119.830738	      338.157434	     1674.255099	    13233.672906	    18262.500000
Juan Fernandez-B                   	-78.833300	-33.621700	0.458000	        0.230000	        0.310000	        0.460000	        0.660000	        0.850000	     1256.081750	     3391.458487	    18262.500000	    18262.500000	    18262.500000
JUNEAU                             	-134.412000	58.298300	-0.955000	       -1.210000	       -1.120000	       -0.950000	       -0.710000	       -0.490000	        0.000124	        0.000195	        0.000686	        0.003391	        0.009746
KAGOSHIMA                          	130.566700	31.583300	0.520000	        0.260000	        0.350000	        0.520000	        0.770000	        0.990000	        6.110020	       12.095739	       60.707505	      595.199642	     2614.327813
Kahului, Maui, Hawaii, USA         	-156.466700	20.900000	0.717000	        0.440000	        0.540000	        0.720000	        0.990000	        1.230000	    18262.500000	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Kahului                            	-156.466700	20.900000	0.717000	        0.440000	        0.540000	        0.720000	        0.990000	        1.230000	    18262.500000	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Kalix                              	23.096100	65.696900	-0.300000	       -0.590000	       -0.480000	       -0.300000	       -0.050000	        0.150000	        0.000657	        0.005881	        0.095049	        0.823700	        3.543631
Kanmen-A                           	121.281700	28.088300	0.623000	        0.350000	        0.450000	        0.620000	        0.870000	        1.080000	        2.076158	        2.969633	        6.746831	       25.371844	       83.774680
Kanton-B, Kiribati                 	-171.718300	-2.810000	0.562000	        0.310000	        0.400000	        0.560000	        0.810000	        1.050000	     2029.369908	     6846.342064	    18262.500000	    18262.500000	    18262.500000
Kanton-B                           	-171.718300	-2.810000	0.562000	        0.310000	        0.400000	        0.560000	        0.810000	        1.050000	      927.824475	     3473.576035	    18262.500000	    18262.500000	    18262.500000
Kaohsiung                          	120.288300	22.615000	0.553000	        0.180000	        0.320000	        0.550000	        0.850000	        1.080000	       30.420592	      162.996754	     3970.142238	    18262.500000	    18262.500000
Kapingamarangi                     	154.776700	1.098300	0.597000	        0.330000	        0.430000	        0.600000	        0.850000	        1.090000	      731.131627	     2285.842571	    18262.500000	    18262.500000	    18262.500000
KASKINEN                           	21.214800	62.343900	-0.227000	       -0.520000	       -0.410000	       -0.230000	        0.020000	        0.220000	        0.011656	        0.078996	        0.370679	        1.132765	        3.434450
KAWASAKI                           	139.750000	35.516700	0.645000	        0.350000	        0.450000	        0.650000	        0.910000	        1.130000	      121.746909	      442.396167	     5789.752064	    18262.500000	    18262.500000
Keelung                            	121.745000	25.156700	0.571000	        0.260000	        0.380000	        0.570000	        0.830000	        1.060000	        1.902135	        3.185112	       13.318502	      342.548395	    12398.273464
Kelang                             	101.358300	3.050000	0.477000	        0.160000	        0.280000	        0.480000	        0.750000	        0.970000	       66.085426	      170.422326	      540.636006	     2047.886040	     5721.056885
Keling                             	102.153300	2.215000	0.446000	        0.150000	        0.260000	        0.450000	        0.710000	        0.930000	       44.102775	      181.113259	     1481.854297	    18262.500000	    18262.500000
KEMI                               	24.515200	65.673400	-0.243000	       -0.530000	       -0.420000	       -0.240000	        0.000000	        0.200000	        0.007326	        0.056616	        0.309369	        1.047082	        2.880925
Kerguelen                          	70.220000	-49.345000	0.662000	        0.320000	        0.450000	        0.660000	        0.920000	        1.110000	     1675.109048	     5267.001108	    18262.500000	    18262.500000	    18262.500000
Ketchikan,AK                       	-131.625000	55.333300	0.280000	        0.030000	        0.120000	        0.280000	        0.530000	        0.750000	        1.947741	        8.194714	       49.337597	      263.075578	      640.670651
Ketchikan, USA                     	-131.625000	55.333300	0.280000	        0.030000	        0.120000	        0.280000	        0.530000	        0.750000	        1.574412	        4.561189	       25.288362	      161.863800	      442.998894
KETCHIKAN                          	-131.626200	55.331800	0.280000	        0.030000	        0.120000	        0.280000	        0.530000	        0.750000	        1.816299	        6.815555	       41.239556	      232.532909	      592.247272
Key West,FL                        	-81.808300	24.553300	0.709000	        0.450000	        0.540000	        0.710000	        0.960000	        1.190000	     3540.773765	    16013.610169	    18262.500000	    18262.500000	    18262.500000
Key West, FL                       	-81.808300	24.553300	0.709000	        0.450000	        0.540000	        0.710000	        0.960000	        1.190000	     1598.185282	     9174.377991	    18262.500000	    18262.500000	    18262.500000
KEY WEST                           	-81.807900	24.555700	0.709000	        0.450000	        0.540000	        0.710000	        0.960000	        1.190000	     3051.472793	    12971.428566	    18262.500000	    18262.500000	    18262.500000
