Change in global mean sea level (GMSL) in millimeters compared to 1995-2014 average
Year,Central Estimate,Structural Unc. (1-sigma),Internal Unc. (1-sigma),Total Unc. (1-sigma)
1978.5,-57.098502809017596,2.339054713310154,14.1,14.292696629812669
1979.5,-55.026426112976026,4.481019948939334,14.2,14.890249822712589
1980.5,-52.85473550632262,2.5742214834652657,14.0,14.234697616947615
1981.5,-43.13334762070707,5.37602297613708,14.299999999999999,15.277160175895053
1982.5,-46.95307902990724,4.297607427558355,14.1,14.7404012700267
1983.5,-43.11057184409696,3.3840190350531487,13.899999999999999,14.30599821157552
1984.5,-42.29237491506996,3.7629299380416072,13.899999999999999,14.400334778004634
1985.5,-47.142494588303265,4.022728240149575,13.899999999999999,14.470395381401879
1986.5,-44.01989092044605,5.924471562280407,14.1,15.294095700376314
1987.5,-44.111916009430296,6.414698257518252,17.2,18.35724254170565
1988.5,-43.76951104777145,3.934419626825128,14.8,15.31403466758342
1989.5,-39.77698512137642,2.697620438363147,14.299999999999999,14.552221687064645
1990.5,-36.24227251046023,3.0389897310652114,14.299999999999999,14.619352194455121
1991.5,-36.59121567861434,4.7702907258630125,14.2,14.979842242468866
1992.5,-36.15227266237529,4.582842460031245,14.1,14.826073148796523
1993.5,-35.62011548133763,6.4818601632135575,13.200000000000001,14.705594553619889
1994.5,-32.66300406814607,4.783037941250206,13.100000000000001,13.945875804245462
1995.5,-27.259474882188357,2.90022513679331,13.100000000000001,13.417201863432174
1996.5,-27.27115246956264,3.237008922225877,13.100000000000001,13.49400706842004
1997.5,-18.996246269503434,1.4522574481068908,13.100000000000001,13.180252338084502
1998.5,-21.939110536948373,4.754993257075621,13.100000000000001,13.936282175488364
1999.5,-17.520360034746943,3.641546857795419,13.3,13.789520061173981
2000.5,-15.264005679649017,5.802804552244193,13.799999999999999,14.970388794936019
2001.5,-11.513367934170569,1.4867578670487476,13.3,13.382841587466817
2002.5,-6.218300527451277,5.940807506373755,13.4,14.657871394844026
2003.5,-1.0582793810136764,4.382834305857075,13.200000000000001,13.908602969119427
2004.5,-4.9769147636509485,3.3157474997754446,13.100000000000001,13.513111465619868
2005.5,-1.7986795881203175,2.394484199304394,13.100000000000001,13.317040008226996
2006.5,3.994496288104358,1.9680790080744144,13.600000000000001,13.741664199871252
2007.5,3.4264333193458376,3.2110769200130176,13.100000000000001,13.487809866180658
2008.5,10.0040118476041,1.4441023028736246,13.100000000000001,13.179356261258171
2009.5,14.094510656391558,3.3384025966085615,13.3,13.712582976851692
2010.5,18.67515583994744,6.158749792972856,13.3,14.65674585344384
